,id,valid,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size,pre_pt_position,post_pt_position,ctr_pt_position,pial_distances,cortex_layer
27,295190739,t,100355450394011426,864691135644700911,100355450394011335,864691135909776553,27584,[258670 132474  18526],[258708 132368  18527],[258736 132418  18530],"[984.5592507625544, 221.3868574358861, 741.0400000000001]",L2/3
44,302359304,t,100991586388884486,864691135528125426,100991586388890891,864691135909776553,1856,[263672 153532  17037],[263702 153464  17038],[263698 153514  17040],"[997.1498117588533, 307.04214134644513, 681.4800000000001]",L4
49,278608998,t,98739099783509749,864691136601956561,98739099850025357,864691135909776553,820,[246976 148482  20479],[246908 148546  20491],[246975 148508  20484],"[932.3804910449968, 281.0983993213322, 819.1600000000002]",L2/3
57,331227900,t,103382612063657446,864691136572071330,103382612063659797,864691135909776553,4524,[281012 142356  18488],[280946 142448  18491],[281022 142402  18485],"[1070.142086342288, 268.5533758799294, 739.5200000000001]",L2/3
73,291739017,t,99652175067809577,864691136000612232,99722543812037323,864691135909776553,9952,[253932 135770  17038],[254046 135804  17043],[254009 135795  17039],"[964.5303075319343, 232.86891269897407, 681.5200000000001]",L2/3
82,288054263,t,99650457147846669,864691135602992195,99650457147817613,864691135909776553,3120,[253518 123036  17423],[253638 122910  17410],[253584 122976  17418],"[967.3199740244893, 181.98240964698275, 696.9200000000002]",L2/3
115,291529306,t,99792843971133671,864691137196925761,99792843971149449,864691135909776553,976,[254942 135136  18272],[254916 135082  18279],[254896 135130  18276],"[968.7759610758332, 230.6946721453139, 730.8800000000001]",L2/3
116,302253088,t,100919431139502175,864691135761509430,100919499858972472,864691135909776553,264,[262826 140458  18459],[262800 140514  18455],[262794 140484  18459],"[998.3365856232422, 254.6502083815812, 738.3600000000001]",L2/3
119,308444861,t,101551444234551946,864691135697669653,101551444234542016,864691135909776553,3936,[267454 130380  19338],[267504 130320  19332],[267486 130350  19335],"[1020.2915641759604, 216.10503482185135, 773.5200000000001]",L2/3
172,249093383,t,96696894038147936,864691136390418303,96696894038137539,864691135909776553,7156,[232120 137266  17793],[232200 137226  17781],[232154 137230  17787],"[877.0927725482238, 231.2259775291073, 711.7200000000001]",L2/3
195,284989562,t,99511093847965469,864691136029948808,99581462592146514,864691135909776553,5828,[252922 133048  16135],[252964 133004  16125],[252911 133081  16133],"[961.4546326786802, 221.67023562545057, 645.4000000000001]",L2/3
196,290882133,t,99720276136319729,864691135683952311,99720344855795518,864691135909776553,2032,[254172 118900  17520],[254232 119016  17511],[254168 118958  17517],"[971.3679239627145, 165.7293639847808, 700.8000000000002]",L2/3
205,291688786,t,99652381360378596,864691135699256098,99652381360380830,864691135909776553,4496,[253924 137268  17985],[253972 137250  17995],[253982 137288  17990],"[963.9761920910515, 238.83532234617178, 719.4000000000001]",L2/3
206,266939429,t,98450408858867190,864691136451340799,98450408858864951,864691135909776553,1292,[245046  94468  17231],[244924  94528  17232],[245018  94510  17230],"[943.5203891308166, 65.19171529641014, 689.2400000000001]",L1
219,275521393,t,98878600052681674,864691135875975507,98878600052689320,864691135909776553,10320,[247956 139114  18318],[247952 139218  18324],[247923 139128  18318],"[939.5514742537567, 244.11064210600912, 732.7200000000001]",L2/3
224,302301651,t,100988563000264818,864691135569022342,100988563000261393,864691135909776553,892,[263508 131152  19016],[263582 131192  19015],[263530 131168  19014],"[1004.2984901276754, 217.80561780602957, 760.6400000000001]",L2/3
247,297164017,t,100704820146702584,864691135132663968,100704751427204035,864691135909776553,18612,[261416 113924  18086],[261370 113856  18078],[261396 113934  18080],"[1001.9684094382704, 148.42652951581874, 723.4400000000002]",L2/3
251,285500953,t,99370906316818049,864691135939710721,99370906316821480,864691135909776553,3064,[251870 137192  17715],[251918 137286  17724],[251874 137258  17721],"[955.8179517973251, 237.81640757553728, 708.6000000000001]",L2/3
273,268272631,t,97963393994333893,864691135454418026,97963393994316862,864691135909776553,2420,[241676 136116  17690],[241594 135988  17676],[241632 136052  17685],"[915.572235104722, 229.97492302867184, 707.6000000000001]",L2/3
286,295137483,t,100426300040320235,864691136039828104,100426300040329714,864691135909776553,5248,[259218 136320  17549],[259188 136382  17560],[259218 136319  17552],"[985.4021055943414, 236.90336205943225, 701.9600000000002]",L2/3
290,319814686,t,102046980381113804,864691134917429002,102046980381109971,864691135909776553,644,[271260 152290  19165],[271182 152266  19163],[271192 152244  19160],"[1027.8193029653044, 304.7383971902023, 766.6000000000001]",L4
309,275418686,t,98737175033751459,864691136194213608,98737175033742355,864691135909776553,15644,[246898 134016  15520],[246832 134084  15518],[246854 134028  15513],"[937.1128581975427, 223.42739671921422, 620.8000000000002]",L2/3
321,291692028,t,99863625031957109,864691135509056521,99863625031959197,864691135909776553,2400,[255418 137988  18057],[255378 137954  18059],[255416 137954  18057],"[969.6784430677346, 242.2252057953361, 722.2800000000001]",L2/3
337,260821835,t,97541318968193590,864691135941138804,97541318968199585,864691135909776553,17372,[238580 137204  17694],[238530 137098  17700],[238547 137095  17693],"[902.8560581711159, 233.23102563658014, 707.7600000000001]",L2/3
354,304632798,t,100777181353005510,864691135751234440,100777181353006878,864691135909776553,2804,[262004 129148  15006],[262038 129200  15008],[262014 129210  15007],"[999.0040232578207, 209.29579215775624, 600.2400000000001]",L2/3
358,264528341,t,97401062516323750,864691135382966251,97471431260508624,864691135909776553,592,[237586 140950  17857],[237622 140938  17860],[237552 140928  17856],"[897.5892464021723, 247.8114757596221, 714.2800000000001]",L2/3
372,288465292,t,99652381293278131,864691136020286712,99652381293282953,864691135909776553,3344,[253600 137034  17498],[253544 137046  17499],[253508 137001  17495],"[962.7667015375364, 237.78993026615697, 699.9200000000002]",L2/3
381,288311300,t,99721925269963784,864691137053995126,99721925269964874,864691135909776553,3688,[254326 131086  16885],[254376 131056  16889],[254366 131054  16880],"[967.7332603722472, 214.34156628609745, 675.4000000000001]",L2/3
394,305785966,t,101060649463395968,864691136577825044,101131018207556552,864691135909776553,1492,[264176 143920  17346],[264236 143878  17344],[264202 143894  17342],"[1002.5091042673681, 268.91615357159293, 693.8400000000001]",L2/3
401,275524084,t,98667356313737930,864691135269766053,98667356313737832,864691135909776553,16236,[246356 138100  17481],[246458 138068  17482],[246392 138106  17479],"[933.529331878554, 239.51227965696407, 699.2400000000001]",L2/3
405,247435935,t,96346561944372603,864691135478576070,96276193200176551,864691135909776553,4060,[229410 148564  16222],[229400 148528  16215],[229374 148534  16218],"[862.355279694657, 275.3012400738849, 648.8800000000001]",L2/3
475,285711480,t,99581943829635784,864691136005045706,99581943829645856,864691135909776553,564,[253124 136760  17497],[253228 136710  17507],[253153 136745  17503],"[960.9654695264212, 236.532156342857, 699.8800000000001]",L2/3
481,322227401,t,102467268566705181,864691135989623242,102467268566706793,864691135909776553,888,[274316 138168  18227],[274446 138224  18229],[274396 138190  18229],"[1044.9200405511076, 249.53074288374307, 729.0800000000002]",L2/3
482,290333142,t,99582424866022703,864691135775782061,99652793610200996,864691135909776553,720,[253424 140280  17537],[253512 140230  17538],[253474 140226  17539],"[960.9337503062443, 250.66316458328586, 701.4800000000001]",L2/3
497,277675806,t,98526137789210984,864691135683951799,98526137789213125,864691135909776553,1480,[245472 134636  17647],[245544 134734  17646],[245542 134688  17652],"[931.2144173976131, 225.40082321384915, 705.8800000000001]",L2/3
522,264532898,t,97893643725508534,864691135700645499,97893643725503825,864691135909776553,10732,[240758 140752  17784],[240724 140830  17778],[240698 140794  17780],"[910.2979920798165, 248.12832162271573, 711.3600000000001]",L2/3
563,274635260,t,98878462613711173,864691136662205406,98878462613705131,864691135909776553,1948,[248148 138134  18248],[248160 138184  18241],[248082 138194  18244],"[940.658202293462, 240.27249449991976, 729.9200000000002]",L2/3
566,279014011,t,98808093802570238,864691135974465903,98808093802562069,864691135909776553,3224,[247600 138358  17878],[247512 138418  17879],[247574 138424  17881],"[938.396451969743, 240.974039561307, 715.1200000000001]",L2/3
582,291021791,t,99648807813854154,864691135850419911,99648807813856787,864691135909776553,4652,[253750 110408  17380],[253834 110398  17379],[253770 110382  17377],"[972.6468535819881, 131.74350358624227, 695.2000000000002]",L2/3
615,274837475,t,98942921415581353,864691136881316718,98942921415589323,864691135909776553,4252,[248790  94120  17621],[248662  94156  17631],[248735  94168  17626],"[958.5607217233432, 65.11025668005534, 704.8400000000001]",L1
617,284186493,t,99436945666940185,864691135615874883,99436945666942496,864691135909776553,196,[252364 105038  17252],[252278 104936  17263],[252344 105000  17258],"[968.9960555299871, 109.8620500334386, 690.0800000000002]",L2/3
623,297160024,t,100282882559502435,864691136123754022,100282882559489190,864691135909776553,1564,[258126 115924  18060],[258174 115940  18049],[258147 115926  18052],"[988.1612412694017, 155.24911752599368, 722.4000000000001]",L2/3
657,302360663,t,101202555182364657,864691135366984441,101202486462889211,864691135909776553,13612,[265012 152274  16962],[265008 152172  16965],[265022 152228  16965],"[1002.9279830381313, 302.4964444067749, 678.4800000000001]",L4
668,288716764,t,99651419153811670,864691135538137714,99651419153799853,864691135909776553,1388,[253730 129778  17253],[253732 129830  17246],[253752 129784  17250],"[965.8143310580522, 208.92169633497093, 690.1200000000001]",L2/3
681,277661243,t,98457143635900504,864691135782420531,98457143635893488,864691135909776553,8832,[245270 144636  19169],[245208 144718  19160],[245270 144676  19166],"[926.9232623716485, 265.1781892973788, 766.7600000000001]",L2/3
708,332470512,t,103241805855825128,864691136309701978,103241874575306033,864691135909776553,4132,[279920 141964  18496],[279820 142072  18503],[279866 142001  18501],"[1065.9273681056516, 266.61064630899966, 739.8400000000001]",L2/3
765,318446378,t,102187855308554271,864691135012861430,102117486564350339,864691135909776553,176,[271998 153728  19307],[271898 153702  19299],[271966 153728  19307],"[1030.2587498817866, 310.725792846217, 772.2800000000001]",L4
772,290885345,t,99931313649441307,864691135213051776,99931313649448787,864691135909776553,22604,[255740 118076  17578],[255748 118072  17585],[255744 117961  17580],"[977.9033224372423, 162.9925470783837, 703.1200000000001]",L2/3
777,291533492,t,100074318947968378,864691135345441695,100074318947965995,864691135909776553,9516,[256886 135284  18351],[256924 135354  18350],[256877 135331  18354],"[976.470774848488, 231.96214246218995, 734.0400000000001]",L2/3
796,247436486,t,96416930688559795,864691135644643823,96416930688575037,864691135909776553,9428,[229988 148404  16224],[229954 148300  16238],[229950 148342  16233],"[864.7142615120039, 274.8651795443388, 648.9600000000002]",L2/3
804,257525430,t,96908068990142657,864691135497877267,96908137709586266,864691135909776553,3736,[233848 137922  17759],[233794 138058  17757],[233807 138022  17761],"[883.7497736324641, 234.44241291077185, 710.3600000000001]",L2/3
805,302254367,t,101060374786293257,864691135113309337,101060374786293191,864691135909776553,6456,[263980 141826  18472],[263894 141810  18479],[263950 141804  18473],"[1002.4581041253186, 260.5036966780624, 738.8800000000001]",L2/3
838,309553832,t,101553505550346183,864691135584090435,101553505550347110,864691135909776553,4948,[267456 145848  17222],[267412 145792  17220],[267440 145834  17223],"[1014.9070336182621, 277.74229042812584, 688.8800000000001]",L2/3
843,271738158,t,98386156215285544,864691135440489544,98386156215280906,864691135909776553,440,[244736 140272  17823],[244714 140184  17822],[244786 140198  17827],"[926.3167811419279, 247.6024499809803, 712.9200000000002]",L2/3
846,271807731,t,98245349940371745,864691137196906305,98245349940378849,864691135909776553,4824,[243386 139512  17284],[243340 139466  17292],[243339 139508  17289],"[921.2022832301853, 244.10337708794412, 691.3600000000001]",L2/3
881,295135889,t,100215262527355143,864691135772010571,100215262527359845,864691135909776553,29232,[257628 136866  17614],[257686 136758  17616],[257694 136796  17609],"[978.875959172317, 238.52474075618963, 704.5600000000002]",L2/3
883,325619046,t,102748812262992642,864691135997404808,102748812262988212,864691135909776553,2804,[276268 138618  18325],[276178 138700  18323],[276196 138666  18325],"[1052.5414484168623, 252.0044053796819, 733.0000000000001]",L2/3
896,281183433,t,99508895025865985,864691135490822119,99508895025864241,864691135909776553,3968,[252786 116614  17496],[252850 116702  17493],[252820 116662  17491],"[966.6419726681784, 156.13696822763683, 699.8400000000001]",L2/3
981,298387572,t,100566212559492762,864691135946679905,100566212559497018,864691135909776553,1116,[260306 129888  15083],[260338 129762  15085],[260264 129832  15083],"[991.9798878698484, 211.65256665936573, 603.3200000000002]",L2/3
991,293043202,t,99653137006257692,864691135474773056,99653137006252645,864691135909776553,8748,[253880 142624  16011],[253872 142666  16006],[253883 142681  16009],"[961.9336371915615, 260.1624581473659, 640.4400000000002]",L2/3
1005,277676677,t,98596437813923781,864691135181760002,98666875277596355,864691135909776553,1164,[246298 134320  17651],[246380 134372  17654],[246312 134368  17656],"[934.6160095389413, 224.42959568949934, 706.0400000000001]",L2/3
1055,258147947,t,96837837684946106,864691135494343056,96837837684956436,864691135909776553,14212,[233210 138942  17810],[233226 138880  17817],[233206 138934  17818],"[880.8518893325236, 238.2844658234942, 712.4000000000001]",L2/3
1058,319403879,t,102326462358888436,864691135987935112,102326462358873262,864691135909776553,3576,[273398 137774  18214],[273354 137678  18202],[273368 137704  18209],"[1041.3993710702848, 247.64070415218112, 728.5600000000002]",L2/3
1079,243204002,t,95782993784179395,864691135463489093,95782993784192841,864691135909776553,276,[225772 144066  18334],[225764 144054  18346],[225762 144104  18340],"[849.4267605715419, 256.1094146973543, 733.3600000000001]",L2/3
1081,319104355,t,101833674990887162,864691136577484564,101833674990893600,864691135909776553,2484,[269800 136228  17947],[269776 136236  17954],[269768 136246  17951],"[1027.6011080884998, 240.22589068955747, 717.8800000000001]",L2/3
1125,285709202,t,99300400133577652,864691135386395265,99300400133581427,864691135909776553,4612,[251200 136328  17620],[251192 136284  17623],[251211 136291  17623],"[953.4493602533752, 234.13998130836845, 704.8000000000002]",L2/3
1127,258153034,t,97189750125151622,864691135761552694,97189750125143058,864691135909776553,4988,[235984 138992  17667],[235900 139076  17663],[235916 139010  17663],"[891.888234554, 239.45078488464054, 706.6800000000002]",L2/3
1252,279014717,t,98948900010344439,864691136571379874,98948900010357918,864691135909776553,2024,[248366 138618  17868],[248370 138612  17875],[248364 138624  17867],"[941.3581505522385, 242.27712724310132, 714.7200000000001]",L2/3
1268,283922172,t,99230443639197815,864691135992396424,99230443639191900,864691135909776553,6296,[250432 139214  17141],[250502 139164  17139],[250491 139200  17140],"[949.3829242465583, 245.37231046141878, 685.6400000000001]",L2/3
1282,288502603,t,100071844979262142,864691136922728420,100071844979266478,864691135909776553,6776,[256920 116780  17480],[256878 116708  17486],[256876 116774  17481],"[983.0571767826391, 158.23964886924503, 699.2000000000002]",L2/3
1302,285498694,t,99089568779207178,864691135354908111,99089568779213337,864691135909776553,4080,[249792 138186  17871],[249846 138186  17877],[249828 138174  17874],"[947.1910502336218, 241.05283916143148, 714.8400000000001]",L2/3
1322,302301445,t,100988563000158819,864691136951754975,100988562933630131,864691135909776553,3672,[263300 131168  18946],[263316 131092  18940],[263340 131142  18946],"[1003.4640781713273, 217.7968606887414, 757.8400000000001]",L2/3
1327,285708043,t,99159662645218993,864691136717212790,99159662645221890,864691135909776553,3260,[250154 136152  17626],[250220 136010  17627],[250202 136076  17624],"[949.3426392794536, 233.0740006132556, 705.0400000000001]",L2/3
1329,283922407,t,99230443639273502,864691135782685747,99230443639257049,864691135909776553,2472,[250720 139118  17198],[250684 139200  17186],[250762 139122  17191],"[950.564008343975, 245.09017511299677, 687.9200000000002]",L2/3
1333,302253700,t,100989799883706910,864691135474955328,100989799883707819,864691135909776553,5156,[263426 140278  18498],[263372 140292  18491],[263384 140332  18491],"[1000.7902050334408, 254.14212198154948, 739.9200000000002]",L2/3
1407,282223976,t,99160212333669718,864691135617803919,99160212267177750,864691135909776553,9332,[250340 140126  16899],[250282 140108  16896],[250324 140078  16897],"[948.6983804481171, 248.97435540672632, 675.9600000000002]",L2/3
1409,278904760,t,98667700045302846,864691135385322069,98667700045291645,864691135909776553,22712,[246640 140838  18477],[246588 140706  18468],[246607 140835  18468],"[933.7064793610139, 250.5216129142262, 739.0800000000002]",L2/3
1455,271587083,t,98385400233665411,864691135471427826,98385400233657056,864691135909776553,10664,[244754 134554  17023],[244690 134498  17013],[244714 134548  17020],"[928.381933308315, 224.82376005970377, 680.9200000000002]",L2/3
1498,277779087,t,98667974923586406,864691135644503492,98597606179375481,864691135909776553,17344,[246364 142560  18806],[246270 142552  18795],[246292 142471  18796],"[932.0063516582748, 257.28718205468874, 752.2400000000001]",L2/3
1504,305784828,t,100919774536012682,864691135207785081,100919774536025251,864691135909776553,204,[262726 142992  17340],[262724 142992  17353],[262726 142950  17349],"[997.0546971355153, 264.71277554434, 693.6000000000001]",L2/3
1548,295645397,t,100355243765997366,864691135396739617,100425543790666293,864691135909776553,2036,[259088 130762  15151],[259212 130748  15147],[259185 130720  15150],"[986.8217308240996, 214.71064054522785, 606.0400000000001]",L2/3
1558,271807240,t,98174981196231290,864691136378769109,98174981196227287,864691135909776553,9592,[242958 139822  17298],[242980 139764  17289],[242948 139787  17292],"[919.3887247860451, 245.18944788199377, 691.9200000000002]",L2/3
1588,288310329,t,99651487873087176,864691136379118293,99651487873088877,864691135909776553,3936,[253498 130614  17064],[253514 130570  17066],[253458 130558  17062],"[964.5984135744749, 212.17209087611997, 682.5600000000002]",L2/3
1635,295139931,t,100707843736611519,864691136084053612,100707843736620652,864691135909776553,4672,[261294 136598  17629],[261302 136470  17634],[261290 136550  17639],"[993.5775891813598, 238.73487185148693, 705.1600000000001]",L2/3
1646,302254029,t,100989937322630199,864691135322999964,100989937322638961,864691135909776553,2844,[263620 141122  18474],[263608 141036  18481],[263646 141060  18477],"[1001.2690143316438, 257.5729081386794, 738.9600000000002]",L2/3
1661,297980482,t,100631152733414027,864691135593514027,100631152733414039,864691135909776553,10184,[261020  89592  17062],[260906  89658  17059],[260946  89618  17064],"[1008.8731311666371, 51.33083724343311, 682.4800000000001]",L1
1675,306510226,t,100847825445155524,864691135748592681,100847825445158202,864691135909776553,12932,[262480 131164  18835],[262522 131170  18838],[262528 131220  18842],"[1000.1979540534703, 217.49505073735963, 753.4000000000001]",L2/3
1678,308679355,t,101481831203303582,864691135686921440,101411462459121305,864691135909776553,10888,[266850 136292  17817],[266756 136212  17811],[266788 136272  17812],"[1015.8236987808739, 239.45247876784666, 712.6800000000002]",L2/3
1694,288432675,t,99793943214222033,864691136903050674,99793943214224052,864691135909776553,2240,[254502 143144  16129],[254550 143252  16131],[254536 143190  16132],"[964.2308856554987, 262.45138660735284, 645.1600000000001]",L2/3
1708,302301973,t,101058931744394507,864691135517508234,101058931744386080,864691135909776553,2580,[263832 131146  18979],[263884 131042  18976],[263866 131092  18978],"[1005.5916501942282, 217.89466297587643, 759.1600000000001]",L2/3
1720,302252222,t,100778556145582862,864691135603857987,100778624865090702,864691135909776553,13796,[262126 139368  18418],[262036 139476  18427],[262068 139448  18423],"[995.9272395069653, 250.0627634182077, 736.7200000000001]",L2/3
1762,311711277,t,101342468238506003,864691135368839154,101342468238500268,864691135909776553,9812,[266126 146196  18659],[266026 146172  18655],[266062 146232  18657],"[1009.4859570305091, 278.665324896452, 746.3600000000001]",L2/3
1763,298411609,t,100706812608884631,864691136436734110,100706812608874684,864691135909776553,3112,[261366 129210  15047],[261266 129212  15042],[261318 129158  15047],"[996.4401197640891, 209.32042698739102, 601.8800000000001]",L2/3
1764,312524388,t,101694586636063137,864691136906957166,101694586636065609,864691135909776553,1324,[268816 148674  17189],[268824 148566  17189],[268790 148610  17186],"[1019.3411242598614, 289.4774025359022, 687.5600000000002]",L4
1805,285710514,t,99441274994145335,864691135715511322,99441274994113339,864691135909776553,632,[252174 137392  17408],[252176 137388  17398],[252180 137404  17406],"[956.9595999560064, 238.71934471719172, 696.3200000000002]",L2/3
1888,298318835,t,100285906149393767,864691136907501166,100285906149387329,864691135909776553,11420,[258256 138930  17577],[258342 138910  17568],[258296 138886  17573],"[980.6588424417989, 246.96825940941724, 703.0800000000002]",L2/3
1896,250205219,t,96345600139964435,864691135583707256,96415968884136824,864691135909776553,5572,[229890 141384  18095],[229950 141380  18086],[229902 141340  18093],"[866.771086446706, 246.8578673707655, 723.8000000000002]",L2/3
1905,319814778,t,102047049100504835,864691135100140576,102046980381042338,864691135909776553,18144,[271320 152824  19103],[271388 152758  19108],[271332 152768  19106],"[1027.8722250263372, 306.8871864435856, 764.1200000000001]",L4
1926,271737857,t,98386224934749348,864691135939732737,98386224934759425,864691135909776553,4360,[244500 140618  17793],[244446 140584  17809],[244518 140618  17802],"[925.2557497989665, 248.8989084219855, 711.7200000000001]",L2/3
1944,309550783,t,101342261878949404,864691135012504822,101271893134774231,864691135909776553,5068,[265764 144638  17312],[265754 144638  17313],[265738 144656  17309],"[1008.5866216964757, 272.3308380224456, 692.4800000000001]",L2/3
5,146289299,t,87972750912138776,864691136328890346,87902382167933356,864691136422902319,880,[168490 148956  22429],[168474 149042  22425],[168468 149002  22424],"[619.4658954590321, 255.62516196774337, 897.1600000000002]",L2/3
19,172351343,t,90295263134038969,864691135502056117,90295263134050402,864691136422902319,308,[185626 151510  22562],[185610 151514  22568],[185600 151550  22559],"[686.8586817771228, 271.7762902343441, 902.4800000000002]",L2/3
22,142593771,t,88176366788699247,864691135926632660,88176366788703583,864691136422902319,2620,[170164  92878  22884],[170126  92896  22888],[170124  92842  22886],"[645.6864941246672, 32.75033170282608, 915.3600000000002]",L1
23,182003082,t,90999569118252704,864691135615760745,90999569118254867,864691136422902319,2852,[190552 156124  23105],[190500 156198  23106],[190534 156176  23104],"[704.8791557201718, 291.87937633742524, 924.2000000000003]",L4
26,132956627,t,86846713230423093,864691135856061230,86846713230421829,864691136422902319,968,[160340 148058  19577],[160326 147994  19572],[160358 147998  19570],"[587.303011729191, 249.20555339862412, 783.0800000000002]",L2/3
32,151404858,t,88322945365493876,864691135474995008,88322945365494963,864691136422902319,2008,[171388 136632  22380],[171476 136662  22380],[171401 136666  22379],"[635.3102138938003, 207.5270575005436, 895.2000000000003]",L2/3
33,161398107,t,89099337812364010,864691135865951109,89099337812377241,864691136422902319,1584,[177184 153994  20883],[177066 154020  20890],[177124 154038  20885],"[652.3531997520199, 278.7314056334808, 835.3200000000003]",L2/3
36,138584282,t,87620632380546954,864691136100086133,87620632380556501,864691136422902319,2840,[166322 146966  22999],[166336 146934  23009],[166388 146924  23001],"[611.5206547494519, 246.93963756982535, 919.9600000000003]",L2/3
53,168225278,t,89733481076365059,864691135782797107,89733481076378347,864691136422902319,4504,[181362 160124  20177],[181390 160134  20184],[181360 160154  20180],"[666.8645467343567, 304.61464640348925, 807.0800000000003]",L4
66,132956634,t,86846713230491865,864691135478464966,86846713230487534,864691136422902319,3460,[160344 148070  19644],[160422 148052  19639],[160365 148052  19640],"[587.3147673687085, 249.25476523601665, 785.7600000000001]",L2/3
68,147021318,t,87972063784091861,864691135799954786,87972063784102926,864691136422902319,6128,[168628 143768  22608],[168634 143740  22614],[168698 143768  22608],"[621.8244509058783, 235.00023956294027, 904.3200000000003]",L2/3
74,124419060,t,86495213509770235,864691136065399960,86495213509787571,864691136422902319,2708,[157972 150320  22805],[157996 150300  22818],[157982 150288  22814],"[577.0784703884851, 257.3935838316525, 912.2000000000003]",L2/3
83,139957053,t,87691344520384631,864691135502364341,87620975776235579,864691136422902319,3580,[166434 149412  21172],[166312 149324  21186],[166368 149366  21181],"[611.114218187154, 256.725452268706, 846.8800000000002]",L2/3
89,138404094,t,87480650806195829,864691135753682381,87551019550361985,864691136422902319,2568,[165380 152316  22829],[165462 152372  22826],[165394 152370  22835],"[605.9018602322424, 267.9298012703156, 913.1600000000002]",L2/3
97,146806728,t,87970345797080855,864691135403641330,87970345797075602,864691136422902319,1540,[168606 130836  22547],[168550 130904  22541],[168534 130868  22544],"[626.2451780332971, 183.46141051468865, 901.8800000000002]",L2/3
98,132747036,t,86706181833601261,864691135403718126,86706181833591518,864691136422902319,3348,[159720 149322  19247],[159684 149270  19234],[159713 149339  19240],"[584.3917894425913, 254.0261675501619, 769.8800000000001]",L2/3
101,139637982,t,87619258058015480,864691136691009646,87619258057999961,864691136422902319,2304,[166284 136430  23471],[166270 136574  23459],[166272 136508  23467],"[615.0423247776995, 204.94276054054924, 938.8400000000003]",L2/3
102,132956466,t,86776413205757597,864691135292070070,86846781949930384,864691136422902319,3696,[160218 148240  19594],[160290 148222  19592],[160232 148250  19591],"[586.7534193358017, 249.88825113637415, 783.7600000000001]",L2/3
124,158471482,t,89028007196581503,864691136118695704,89028007196588992,864691136422902319,5220,[176368 146798  22159],[176326 146784  22166],[176362 146744  22163],"[651.6103111566971, 249.77246109927975, 886.3600000000002]",L2/3
152,124244269,t,86493770535007452,864691136989999509,86564207998683805,864691136422902319,29820,[158120 139918  23877],[158260 140004  23872],[158192 139952  23875],"[581.294593794, 215.99551103315775, 955.0800000000003]",L2/3
164,145117652,t,87902176143443637,864691136815937390,87831807399265717,864691136422902319,6708,[167980 147500  23220],[167936 147474  23208],[167952 147472  23214],"[617.9412533206873, 249.6455263308519, 928.8000000000003]",L2/3
173,147176298,t,87831120137510289,864691136966045646,87831120137520281,864691136422902319,1884,[167956 142436  22801],[167848 142520  22802],[167922 142490  22795],"[619.6110453547673, 229.4582395750017, 912.0400000000003]",L2/3
175,108742182,t,85367458110003346,864691136418910359,85367458110012793,864691136422902319,11616,[149686 136550  22349],[149798 136546  22359],[149738 136484  22358],"[548.8611316254733, 199.6344899231308, 893.9600000000003]",L2/3
177,139431783,t,87618570930121409,864691135807358493,87618570930099700,864691136422902319,212,[166104 131728  23776],[166038 131736  23760],[166104 131716  23768],"[615.9642898046712, 186.1435785240613, 951.0400000000003]",L2/3
214,146271735,t,87901282656319774,864691136602014673,87971651400522066,864691136422902319,10580,[168444 140614  22465],[168564 140550  22459],[168476 140578  22459],"[622.1908084585872, 222.36810062515252, 898.6000000000003]",L2/3
216,146600755,t,87903687971897759,864691135753955277,87903687971891169,864691136422902319,8256,[168290 158784  23195],[168340 158808  23185],[168312 158828  23191],"[615.2426731416629, 294.7178433449279, 927.8000000000003]",L4
222,147019865,t,87761163710056340,864691135739812244,87761232429516819,864691136422902319,30792,[167280 145538  22686],[167366 145654  22680],[167332 145578  22681],"[615.8359064351142, 241.58335426053435, 907.4400000000003]",L2/3
224,154408183,t,88818412994119775,864691136436744350,88818344274628952,864691136422902319,2348,[175032 157990  23928],[174934 157876  23918],[174984 157934  23922],"[642.3848583987676, 293.90434505420745, 957.1200000000002]",L4
227,170826023,t,90363020471206550,864691135194638122,90363089190674830,864691136422902319,1260,[186118 132262  22252],[186110 132330  22253],[186090 132304  22252],"[695.5294878885951, 195.24879054059187, 890.0800000000003]",L2/3
232,140394107,t,87691756770279985,864691135394257141,87621388026122913,864691136422902319,7172,[166494 152378  20803],[166406 152286  20809],[166426 152318  20809],"[610.3192891827379, 268.565223545126, 832.1200000000002]",L2/3
242,116812224,t,85861688653759279,864691135012839670,85861688653760559,864691136422902319,5640,[153540 148770  22846],[153526 148816  22847],[153586 148828  22848],"[559.95829638575, 249.67207969605312, 913.8400000000003]",L2/3
243,139977208,t,87409457092895759,864691135012921494,87409457092887219,864691136422902319,2584,[164588 146440  20385],[164572 146540  20380],[164568 146468  20381],"[604.7944240062287, 244.23913169334264, 815.4000000000002]",L2/3
252,175013065,t,90155006682493181,864691136333736627,90155006682475487,864691136422902319,3432,[184412 155072  23005],[184482 155138  22999],[184482 155110  22999],"[680.7793653005207, 285.5468440059728, 920.2000000000003]",L4
255,133576077,t,87058782139829633,864691136175500294,87058850859282595,864691136422902319,3360,[161962 155296  24345],[161846 155370  24343],[161888 155324  24343],"[591.2429898663798, 278.61284875672317, 973.8000000000003]",L2/3
257,172351415,t,90295263134008975,864691135544358952,90295263133997341,864691136422902319,13240,[185720 151314  22537],[185626 151458  22537],[185673 151382  22533],"[687.3015810859195, 271.0280441503133, 901.4800000000002]",L2/3
