,id,valid,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size,pre_pt_position,post_pt_position,ctr_pt_position,pial_distances,cortex_layer
5220,186512624,t,91488508195552603,864691135100167712,91488576915017586,864691136309791834,1384,[194132 129180  23379],[194112 129264  23385],[194140 129232  23381],"[728.5379611272172, 185.76156679203578, 935.1600000000002]",L2/3
5264,188101885,t,91488714488298078,864691135638966587,91488714488285434,864691136309791834,3120,[194404 130372  24521],[194418 130278  24516],[194382 130306  24521],"[729.2062623773202, 190.6062485606466, 980.8400000000003]",L2/3
5281,198748885,t,92543695626403437,864691136084406636,92473326882243646,864691136309791834,2660,[201764 126468  22204],[201746 126440  22205],[201748 126414  22200],"[759.8952583678886, 177.61553722173704, 888.1600000000002]",L2/3
5303,194299046,t,91771976238271629,864691135841335779,91842344982454616,864691136309791834,1672,[196626 143984  24819],[196646 143946  24825],[196622 143998  24823],"[733.3149849728351, 245.62169772388722, 992.7600000000002]",L2/3
5348,173762108,t,90577150696402666,864691136296726811,90577150696415684,864691136309791834,1272,[187472 154728  24918],[187474 154724  24932],[187501 154685  24926],"[693.0927147071843, 285.24286639262976, 996.7200000000003]",L4
5350,173822876,t,90222145677964646,864691136040983894,90222145677966535,864691136309791834,17828,[185246 130992  23132],[185190 130868  23137],[185232 130936  23138],"[692.497511954809, 189.88412224358197, 925.2800000000002]",L2/3
5361,235718805,t,95358583168107008,864691134917389066,95358583168105043,864691136309791834,936,[222512 127490  24824],[222598 127428  24828],[222568 127440  24824],"[842.2151560755664, 188.92121054964971, 992.9600000000003]",L2/3
5367,198376132,t,92332039571102505,864691135974543471,92332039571099052,864691136309791834,15016,[200490 122516  21803],[200366 122482  21807],[200360 122470  21810],"[756.1964081677679, 161.42354576926056, 872.1200000000002]",L2/3
5412,196184597,t,91984594433323797,864691135588058564,91984594433304799,864691136309791834,2388,[198084 155264  25651],[198160 155290  25642],[198094 155289  25646],"[735.1923253393318, 291.0782947934912, 1026.0400000000002]",L4
5428,195612366,t,91771907451834662,864691136662181598,91771907451833511,864691136309791834,1672,[196300 143446  24458],[196212 143452  24454],[196290 143484  24461],"[732.2035062449165, 243.36423564505083, 978.3200000000003]",L2/3
5430,210022875,t,92897807291264679,864691135937688373,92897876010758814,864691136309791834,12520,[204628 143534  23666],[204724 143606  23658],[204700 143604  23659],"[765.3580652063015, 246.61822828118918, 946.6400000000002]",L2/3
5441,214313197,t,93599983038718830,864691135739816596,93599983038726253,864691136309791834,27216,[209754 132200  24628],[209624 132280  24632],[209675 132259  24628],"[789.7353340491825, 203.2417867977997, 985.1200000000002]",L2/3
5472,194433820,t,91909827374272783,864691135489540804,91909827374272704,864691136309791834,5564,[197420 122454  23672],[197408 122358  23677],[197434 122392  23674],"[743.9847518994027, 160.10621696319262, 946.8800000000002]",L2/3
5529,188304947,t,91277677041901402,864691136175509766,91277677041894558,864691136309791834,5112,[193014 131044  24620],[192912 130994  24621],[192942 131070  24615],"[723.4331452194243, 192.79943397944032, 984.8000000000003]",L2/3
5557,143072593,t,88324113730578968,864691135113134233,88324113730575883,864691136309791834,2452,[171308 145432  23183],[171348 145394  23176],[171342 145426  23181],"[631.9235494456934, 242.56522103569384, 927.3200000000003]",L2/3
5579,212482438,t,93389632519194194,864691136175328774,93389632519195594,864691136309791834,1344,[208358 137470  23168],[208384 137510  23170],[208346 137530  23168],"[782.3353397979175, 223.7548933660709, 926.7200000000003]",L2/3
5645,177723798,t,90996820339657267,864691135580115652,90996820339665019,864691136309791834,7700,[190700 135710  23517],[190798 135780  23528],[190714 135788  23528],"[712.5856923112448, 210.58569826975227, 940.6800000000003]",L2/3
5678,188115671,t,91419170109155628,864691136602069713,91419170109152479,864691136309791834,2572,[194018 136720  22248],[193958 136848  22246],[193946 136784  22249],"[725.455079143618, 215.76705586778996, 889.9200000000003]",L2/3
5684,198634420,t,92756313754839525,864691136903203506,92756313754827036,864691136309791834,5308,[203618 137518  22964],[203520 137566  22956],[203578 137502  22962],"[763.4307544194903, 222.29368986560888, 918.5600000000003]",L2/3
5720,214253086,t,93529270630212893,864691136378770645,93529270630218378,864691136309791834,3532,[209382 129536  24235],[209418 129492  24244],[209335 129594  24243],"[789.1817279331409, 192.49664834972558, 969.4000000000002]",L2/3
5770,201929652,t,92615988918866936,864691136952003807,92615988918854142,864691136309791834,2488,[202690 140918  25493],[202700 140832  25494],[202716 140844  25497],"[758.5475615988057, 235.51841564257728, 1019.7200000000003]",L2/3
5779,202497034,t,92334032838652981,864691135415189746,92334032838648691,864691136309791834,2880,[200648 137220  24927],[200632 137284  24927],[200606 137262  24925],"[751.6998510515158, 220.07081556164118, 997.0800000000003]",L2/3
5780,191655891,t,92121895679484673,864691135394307317,92121964398946091,864691136309791834,2440,[199158 129616  23682],[199200 129748  23680],[199148 129672  23683],"[748.4134597223017, 189.25110939770664, 947.2800000000002]",L2/3
5891,143071865,t,88253813705840376,864691136966045646,88253744986358521,864691136309791834,6596,[170652 145608  23138],[170608 145494  23141],[170578 145560  23143],"[629.2481769150063, 243.03784543418053, 925.5200000000002]",L2/3
5904,219563961,t,94303189444147716,864691135508879113,94373558188327163,864691136309791834,2988,[215050 128616  24624],[215090 128574  24619],[215078 128622  24618],"[812.0881872615885, 190.80664686032287, 984.9600000000003]",L2/3
5915,206017322,t,92826888590351611,864691136040987734,92826888590340000,864691136309791834,8488,[204176 139220  22467],[204172 139302  22455],[204188 139266  22460],"[765.0609046890052, 229.27031498803018, 898.6800000000003]",L2/3
5919,188217933,t,91489538853331170,864691136702154862,91489538853327645,864691136309791834,4344,[194352 136738  22244],[194230 136750  22243],[194278 136768  22246],"[726.7797200467907, 215.95522195836338, 889.7600000000002]",L2/3
5927,198935116,t,92827301108099263,864691135491409247,92827232388614695,864691136309791834,4944,[204032 142116  23609],[203988 142018  23601],[204020 142088  23601],"[763.4774844189155, 240.76003266290232, 944.3600000000002]",L2/3
5933,177706063,t,91067051913029289,864691136286605251,91137420657218141,864691136309791834,2724,[191488 134686  25332],[191562 134698  25328],[191558 134728  25331],"[716.0826879219244, 206.77999968750922, 1013.2800000000002]",L2/3
5935,192307366,t,92193157911410583,864691136296659739,92193157911398085,864691136309791834,204,[199560 136202  24992],[199512 136164  24985],[199514 136175  24988],"[747.7193099098889, 215.63500895857388, 999.6800000000003]",L2/3
5936,181136180,t,90643396070494702,864691135383131883,90643396070480308,864691136309791834,9856,[188046 124092  23234],[187982 124052  23227],[187978 124060  23228],"[706.060391073272, 163.36529289502354, 929.3600000000002]",L2/3
5951,279702816,t,98671617660005816,864691136390376575,98601248915824823,864691136309791834,872,[246338 169842  23529],[246278 169744  23526],[246272 169784  23529],"[922.3916155151068, 365.9908528707991, 941.1600000000003]",L4
5954,185686057,t,91350244809478150,864691135994536874,91350313528963533,864691136309791834,14008,[193540 147652  24741],[193412 147658  24750],[193472 147708  24745],"[719.7392085619969, 259.1620158458122, 989.6400000000002]",L2/3
5968,205572753,t,93036414744237965,864691135502361525,93036414744236737,864691136309791834,1736,[205476 127652  25655],[205498 127678  25651],[205506 127664  25653],"[774.2739876475019, 183.6276037802167, 1026.2000000000003]",L2/3
6009,164184371,t,89801376255248629,864691136601554641,89801376255253353,864691136309791834,8392,[181948 141676  23031],[182020 141678  23034],[181978 141632  23035],"[675.6310236755188, 231.30774030290377, 921.2400000000002]",L2/3
6014,184669173,t,91559083165338160,864691135583959160,91559151884828951,864691136309791834,9868,[194800 130746  23966],[194816 130814  23969],[194828 130776  23964],"[730.6538497879469, 192.23461052550417, 958.6400000000002]",L2/3
