,id,valid,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size,pre_pt_position,post_pt_position,ctr_pt_position,pial_distances,cortex_layer,is_pre_tuned
457,66999470,t,80380554000058443,864691135489491396,80380554000049907,864691135785592004,432,[113246 205624  19287],[113202 205530  19280],[113276 205546  19284],"[379.57500933341345, 462.1752791641891, 771.4800000000001]",L5,nan
463,67519193,t,81787585152052225,864691135888470665,81787653871542824,864691135785592004,4588,[123760 203424  18290],[123844 203494  18293],[123830 203460  18295],"[422.2379440925393, 457.0741877379772, 731.6000000000001]",L5,nan
473,48334793,t,80450922475597101,864691135462730046,80450853756124559,864691135785592004,14712,[113978 205520  17025],[113982 205402  17028],[114053 205408  17021],"[382.52812419840916, 462.0160541845482, 681.0000000000001]",L5,nan
476,73407189,t,82631735204256638,864691135737784689,82631735204249937,864691135785592004,1960,[129862 201306  18271],[130002 201272  18266],[129942 201302  18268],"[447.2914477361208, 450.7617236247289, 730.8400000000001]",L5,nan
515,513076030,t,80380965914324837,864691135571517221,80380965914303617,864691135785592004,404,[113328 209014  16219],[113418 208976  16214],[113408 208988  16217],"[378.7199293227293, 475.71226635393435, 648.7600000000001]",L5,nan
534,61469966,t,81365441339535749,864691135490923751,81365372620050127,864691135785592004,1152,[120788 203532  17919],[120776 203454  17910],[120796 203460  17914],"[410.3575302407576, 456.4684363777687, 716.7600000000001]",L5,nan
558,90537853,t,83616347732410708,864691135256119983,83616347732415205,864691135785592004,3796,[137120 196920  16950],[137154 196986  16953],[137135 196980  16946],"[477.7420325618852, 435.8147893648572, 678.0000000000001]",L5,nan
570,60053451,t,81433954657504329,864691136273624077,81433954657521132,864691135785592004,1584,[120986 189998  17589],[121016 190080  17596],[120962 190051  17593],"[415.86477973103354, 402.60746755013014, 703.5600000000002]",L5,nan
585,84066065,t,83053810364798857,864691135538423922,83053810364800275,864691135785592004,2240,[133136 200316  19435],[133114 200354  19440],[133112 200396  19433],"[460.682750243611, 447.9581842273089, 777.4000000000001]",L5,nan
586,41120990,t,79817123211546702,864691135837176979,79817123211549357,864691135785592004,8792,[109600 202190  20708],[109582 202304  20710],[109552 202266  20703],"[366.2436771388253, 447.220469438969, 828.3200000000003]",L5,nan
597,55480688,t,81013528831993148,864691135104010829,81013460112482705,864691135785592004,280,[118028 202960  17351],[118094 202818  17351],[118048 202894  17349],"[399.5589531132314, 453.22694350860064, 694.0400000000001]",L5,nan
604,54972511,t,80801666819334262,864691135081755639,80801666819322351,864691135785592004,2480,[116704 197456  18287],[116674 197488  18275],[116690 197465  18284],"[396.20192682447, 430.83314422182116, 731.4800000000001]",L5,nan
612,105561051,t,84602403370355160,864691135207773817,84602472089845653,864691135785592004,1816,[144334 203924  16359],[144324 204030  16361],[144300 203980  16361],"[504.0464714812023, 466.23914613932203, 654.3600000000001]",L5,nan
627,54173278,t,80591179129245785,864691136065833368,80591179129242783,864691135785592004,6104,[114838 201994  18873],[114866 201960  18872],[114874 201992  18877],"[387.18427855555774, 448.265539917714, 754.9200000000002]",L5,nan
635,58621462,t,81153029436854982,864691135334803689,81153029436841840,864691135785592004,5924,[119294 194142  17860],[119176 194148  17851],[119226 194144  17860],"[407.6778404225634, 418.5305207987828, 714.4000000000001]",L5,nan
649,54736843,t,80590835531651371,864691135516208083,80590835531638135,864691135785592004,5316,[114994 199584  18661],[115080 199516  18657],[115002 199562  18661],"[388.6460854072544, 438.7166082115841, 746.4400000000002]",L5,nan
679,53396349,t,80661754098680264,864691135394307317,80661754098682508,864691135785592004,256,[115572 203756  19114],[115654 203618  19112],[115590 203755  19119],"[389.4948325142696, 455.5426094105717, 764.5600000000002]",L5,nan
704,89692938,t,83688091134654553,864691135699307298,83688091134650611,864691135785592004,5448,[137638 207368  19090],[137608 207322  19092],[137646 207346  19091],"[476.16373517542127, 477.62834488648065, 763.6000000000001]",L5,nan
747,92448366,t,83336865956247295,864691135585106556,83266497212079182,864691135785592004,5808,[134696 211892  19685],[134676 211872  19689],[134724 211888  19686],"[462.863345647516, 494.6298353624944, 787.4000000000002]",L5,nan
749,48098434,t,80098597987129748,864691135322988444,80098597987119520,864691135785592004,10600,[111244 202256  19383],[111164 202254  19377],[111210 202254  19378],"[372.77164435739115, 448.0566010035739, 775.3200000000002]",L5,nan
781,97879697,t,84040072294695235,864691135866870294,84040072294690677,864691135785592004,3564,[140012 208134  19260],[140044 208228  19257],[139949 208227  19257],"[485.3565548327216, 481.50831637456554, 770.4000000000001]",L5,nan
802,41091507,t,79675835967155195,864691135538305906,79675835967146469,864691135785592004,3728,[108228 197974  20509],[108200 197968  20505],[108206 198018  20503],"[362.2463550813943, 429.9423313341507, 820.3600000000002]",L5,nan
816,58621379,t,81152960717195515,864691136118416408,81152960717185457,864691135785592004,6588,[119126 193600  17681],[119042 193592  17673],[119064 193636  17676],"[407.1973512357227, 416.3122020341934, 707.2400000000001]",L5,nan
818,60747562,t,81295003875769691,864691136136630909,81295003875776698,864691135785592004,1532,[120226 203256  17842],[120290 203374  17841],[120219 203331  17842],"[408.21430449944086, 455.17271132137864, 713.6800000000002]",L5,nan
821,83241154,t,83054153693608704,864691135081705975,83054153693614808,864691135785592004,16656,[132692 202614  17295],[132754 202550  17292],[132717 202559  17292],"[458.11237287246365, 456.9604172930483, 691.8000000000002]",L5,nan
843,54681046,t,80803041477041989,864691136436367006,80802972757576189,864691135785592004,3616,[116660 207638  20092],[116604 207550  20089],[116650 207594  20088],"[392.4769174669792, 471.3908224749782, 803.6800000000003]",L5,nan
869,67520082,t,81998691384465694,864691135991517121,81998760103936731,864691135785592004,8248,[125104 203430  18182],[125144 203506  18180],[125124 203460  18184],"[427.5913950516546, 457.56664568374276, 727.2800000000001]",L5,nan
878,35556837,t,78833266261788568,864691136008549550,78833266261796131,864691135785592004,7584,[102126 211864  19199],[102032 211880  19212],[102098 211832  19207],"[333.0888618233111, 483.16361139114326, 767.9600000000002]",L5,nan
891,48040248,t,80310253639878920,864691135382458330,80310253639890207,864691135785592004,7284,[112916 206218  16762],[112932 206268  16773],[112944 206260  16768],"[378.052950287164, 464.42719218642804, 670.4800000000001]",L5,nan
892,58540117,t,81223398180625895,864691135334726633,81223398180608805,864691135785592004,6424,[119442 194136  17458],[119380 194114  17447],[119436 194160  17454],"[408.2696794216597, 418.5582083257351, 698.3200000000002]",L5,nan
894,78607876,t,83194684956381384,864691135847903070,83265053700549444,864691135785592004,1852,[134142 201254  16780],[134180 201198  16781],[134144 201244  16780],"[464.36442936194294, 452.04662144336555, 671.2000000000002]",L5,nan
897,35558433,t,79114603799652743,864691136618638989,79114603799658202,864691135785592004,2008,[104038 211050  19344],[104034 211078  19345],[103990 211097  19343],"[340.9915379727031, 480.58656857469055, 773.7600000000001]",L5,nan
915,78742071,t,82983647510214576,864691136911670769,82983647510219025,864691135785592004,11012,[132550 201818  17042],[132486 201704  17041],[132546 201750  17048],"[457.8240381688561, 453.73902891244353, 681.6800000000002]",L5,nan
938,35001051,t,79113710513510699,864691135799735906,79113710513515144,864691135785592004,3760,[104448 204374  19802],[104444 204292  19805],[104460 204346  19807],"[344.95270423190703, 454.12712077495473, 792.0800000000003]",L5,nan
955,84065507,t,82983579059414482,864691135437583602,82983579059398061,864691135785592004,8084,[132236 201258  19279],[132294 201320  19266],[132286 201249  19271],"[456.7680464918076, 451.39808517582696, 771.1600000000001]",L5,nan
