,id,valid,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size,pre_pt_position,post_pt_position,ctr_pt_position,pial_distances,cortex_layer,is_pre_tuned
421,102159493,t,84805401174168832,864691137197250369,84805332454684993,864691135462597021,876,[145834 143050  19746],[145866 143004  19736],[145850 143054  19737],"[531.2457144058366, 224.19265638926026, 789.8400000000003]",L2/3,nan
430,105240225,t,84733658107429476,864691135684207799,84733658107413171,864691135462597021,456,[145412 133074  20117],[145394 133160  20113],[145404 133124  20113],"[533.0420005140602, 184.29338426284917, 804.6800000000003]",L2/3,nan
482,109954967,t,85225826865519520,864691135373697224,85225826865506403,864691135462597021,2212,[148554 129992  19046],[148594 129956  19034],[148526 129990  19043],"[546.6366314762704, 173.10766939962673, 761.8400000000001]",L2/3,nan
486,118067768,t,85858939405120098,864691135113511065,85788570660928895,864691135462597021,6488,[153214 128320  19414],[153120 128294  19425],[153166 128360  19423],"[565.7885982561968, 168.06970230360545, 776.5600000000002]",L2/3,nan
503,92947091,t,84310208557541123,864691136020315640,84310208557555705,864691135462597021,8756,[141914 123764  19087],[141942 123674  19102],[141882 123736  19094],"[522.3489241582834, 145.97561055338738, 763.4800000000001]",L2/3,nan
537,116084498,t,85859214349982605,864691135580095940,85859214349970087,864691135462597021,492,[153596 130266  19824],[153602 130268  19813],[153623 130274  19815],"[566.6323634533333, 175.95725580847002, 792.9600000000003]",L2/3,nan
545,118344804,t,85999539521515310,864691135855950638,85999608240971519,864691135462597021,7864,[154542 127662  19832],[154612 127720  19828],[154602 127648  19830],"[571.309778407372, 165.91068916370352, 793.2800000000002]",L2/3,nan
557,108276050,t,85225826865673200,864691136100083573,85225826865685119,864691135462597021,2772,[148712 130120  19187],[148598 130146  19185],[148664 130148  19178],"[547.2216027851775, 173.6728035144662, 767.4800000000001]",L2/3,nan
593,116133445,t,85647420922641680,864691135864733660,85647420922630048,864691135462597021,3660,[151652 125378  19765],[151796 125250  19758],[151733 125341  19761],"[560.590022563174, 155.80193401577446, 790.6000000000003]",L2/3,nan
612,112335816,t,84946894442737273,864691135392342002,84946894442738908,864691135462597021,636,[146854 148942  18892],[146976 148998  18898],[146934 148978  18897],"[533.256102228974, 248.02656846429693, 755.6800000000002]",L2/3,nan
614,103378342,t,84946963229355162,864691135436229106,84946963229361823,864691135462597021,12304,[146800 149412  19396],[146808 149412  19399],[146752 149358  19399],"[532.8770713778207, 249.88058885627595, 775.8400000000001]",L2/3,nan
652,118524711,t,85789739025766917,864691136521911697,85789739025777793,864691135462597021,2440,[152912 137350  19994],[152900 137328  20003],[152925 137324  20001],"[561.4371296328567, 203.9469706614401, 799.7600000000002]",L2/3,nan
656,159433422,t,89232997127547166,864691136118685976,89233065847021356,864691135462597021,10676,[177726 101494  20436],[177802 101584  20420],[177780 101514  20429],"[672.815655834491, 69.7194726844912, 817.4400000000003]",L1,nan
657,124647017,t,86560840207487516,864691135754592978,86560840207488632,864691135462597021,2380,[158486 115054  19821],[158608 115070  19819],[158544 115034  19818],"[591.4211843827173, 117.0455671471277, 792.8400000000003]",L2/3,nan
658,146364839,t,87898464889331959,864691135644559087,87898464889334141,864691135462597021,2088,[168062 119854  20408],[167976 119906  20409],[168026 119868  20407],"[627.9060358376686, 139.5109189206955, 816.3200000000003]",L2/3,nan
663,94638179,t,84310758246584654,864691135953794568,84310826966060495,864691135462597021,11456,[141960 128172  18849],[141858 128216  18854],[141920 128226  18851],"[520.9954939266056, 163.55655212680654, 753.9600000000002]",L2/3,nan
677,142229111,t,87824522598092730,864691136758464622,87824522598092640,864691135462597021,12700,[167834  93132  19456],[167830  93030  19450],[167886  93103  19449],"[636.3134093038205, 32.95017399367917, 778.2400000000001]",L1,nan
688,104968881,t,84521864613063908,864691135341149893,84521864613063801,864691135462597021,9288,[143762 127862  19660],[143790 127792  19661],[143804 127812  19661],"[528.2841384314579, 162.94948929489794, 786.4000000000001]",L2/3,nan
689,93236159,t,84312476099111436,864691136379133141,84312476099114944,864691135462597021,3416,[142072 140638  17716],[141956 140566  17714],[142032 140602  17716],"[517.0958551949814, 213.26985032520437, 708.6400000000001]",L2/3,nan
706,100887612,t,84525575397913847,864691137196888385,84455206653759549,864691135462597021,3296,[143400 155670  19351],[143332 155620  19357],[143380 155674  19349],"[517.1471409313135, 273.63201643754036, 774.0400000000001]",L2/3,nan
707,118536750,t,85788433221485360,864691135776946016,85788433221495493,864691135462597021,12400,[152936 127668  18962],[153080 127624  18966],[153002 127652  18965],"[564.9081319290046, 165.37470934504674, 758.4800000000001]",L2/3,nan
715,121924223,t,86353101430594989,864691135502367669,86353101430573321,864691135462597021,1152,[156862 140464  21298],[156906 140452  21287],[156894 140428  21294],"[576.0913939310414, 217.7326325562839, 851.9200000000003]",L2/3,nan
724,116133977,t,85717789666788117,864691135781047888,85717789666799979,864691135462597021,3940,[152210 125322  19743],[152202 125258  19750],[152182 125270  19752],"[562.8330520156903, 155.77331802121464, 789.7200000000003]",L2/3,nan
