,id,valid,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size,pre_pt_position,post_pt_position,ctr_pt_position,pial_distances,cortex_layer
424,160009962,t,89245504340465504,864691135777508029,89245504340477944,864691135684442807,2744,[177960 194442  22185],[177942 194496  22193],[177996 194453  22189],"[641.3442861642676, 440.17826965262924, 887.4000000000002]",L5
436,179220641,t,90855739320604794,864691135132686240,90855739320598518,864691135684442807,172,[189738 133228  23680],[189668 133194  23677],[189744 133214  23679],"[709.6176173269865, 200.36010200900452, 947.2000000000003]",L2/3
441,173729283,t,90084156566055469,864691136601558225,90084156566048957,864691135684442807,8964,[184250 151628  20069],[184260 151632  20072],[184266 151616  20070],"[681.3344886482489, 271.7667889237604, 802.7600000000002]",L2/3
445,152846425,t,88676575524312387,864691135428505648,88746944268515243,864691135684442807,8572,[174092 149706  20306],[174158 149736  20293],[174126 149770  20301],"[641.5271590256291, 260.5667319455081, 812.2400000000002]",L2/3
446,153537590,t,88534395463613323,864691135761509430,88534395463620987,864691135684442807,2748,[172750 139212  24231],[172656 139224  24233],[172718 139252  24231],"[639.8380353438483, 218.28261127133953, 969.2400000000002]",L2/3
448,209196634,t,93110768815383249,864691135866981398,93110837534857370,864691135684442807,3868,[205938 157372  22549],[205880 157448  22546],[205920 157408  22545],"[765.7538807517338, 302.2162933019611, 901.9600000000003]",L4
450,177408562,t,91069044576280114,864691136618389901,91069044576280897,864691135684442807,4368,[191518 149396  23571],[191462 149352  23570],[191470 149416  23570],"[711.0739873824233, 265.4065544123572, 942.8400000000003]",L2/3
467,164114158,t,89521069509135955,864691135583666296,89521069509136038,864691135684442807,10688,[179870 150538  22572],[179872 150606  22572],[179890 150532  22573],"[664.2611565760614, 265.89641142714146, 902.8800000000002]",L2/3
468,167770169,t,89802750443434158,864691135303422887,89802750443446416,864691135684442807,6916,[182254 152100  21447],[182232 152016  21461],[182222 152175  21447],"[673.2163201363768, 272.9517530636603, 857.8800000000002]",L2/3
469,167176321,t,89517564547370267,864691136175500294,89447195803189608,864691135684442807,3068,[179786 124280  20497],[179690 124332  20492],[179724 124330  20493],"[673.0805771297745, 161.23480556760595, 819.8800000000002]",L2/3
