id,pt_root_id,pt_position_x,pt_position_y,pt_position_z,session,scan_idx,unit_id
156614,864691136011784867,120720,154624,16509,6,2,4721
156464,864691136124470822,121984,147904,15906,6,4,5037
189106,864691136008998830,133328,111168,23803,6,4,1730
189209,864691134948165628,138976,125856,24234,9,4,7751
331898,864691136904073906,210560,173984,16091,6,2,7218
189150,864691136267370740,144128,124112,23826,9,4,7718
189076,864691136487992850,145184,111792,23317,6,4,1715
189075,864691135698399765,145120,126720,23179,9,4,7717
189075,864691135698399765,145120,126720,23179,5,3,2391
189075,864691135698399765,145120,126720,23179,9,6,2322
156807,864691136274772749,128640,156720,17408,5,6,5048
189114,864691136135544971,135344,120688,24104,9,4,2082
189114,864691136135544971,135344,120688,24104,9,4,4910
189110,864691135740141716,134688,121696,23549,9,4,4907
189110,864691135740141716,134688,121696,23549,9,4,2080
189156,864691135686941408,145296,115664,23526,5,7,2554
189156,864691135686941408,145296,115664,23526,6,2,1882
156606,864691136124236582,119328,147744,16634,6,7,4384
156469,864691136436960926,122352,159472,16326,9,3,2681
189115,864691135738006641,135744,113808,24002,6,2,2184
189238,864691135323372956,142912,126288,24221,5,3,2149
189070,864691136522378641,143696,114496,23205,7,4,2710
189070,864691136522378641,143696,114496,23205,6,2,2015
189060,864691135938369589,140768,113952,22945,7,4,2657
189085,864691135582322797,146784,116896,22831,6,2,1881
156811,864691135800431458,128736,152528,17954,6,4,4756
189137,864691135518352522,140208,124336,24049,9,4,8277
188111,864691136436884382,141344,112256,16306,6,7,1507
188133,864691135618239631,145376,113776,16335,6,7,1257
188088,864691136297444891,137248,119904,16067,6,2,2270
188141,864691137054223478,145568,123920,16416,5,7,1916
188093,864691135293608460,138208,117232,16279,6,4,1700
189318,864691135479167430,143824,122832,25490,9,4,7752
188110,864691136024763705,141136,116304,16295,6,4,1681
188081,864691135954662152,136752,123712,15745,5,7,2111
188052,864691135916000614,130896,116608,16270,6,7,1295
188108,864691135082646775,140944,125456,16366,5,6,1995
189082,864691135618689935,146528,112640,23059,6,4,1713
188116,864691135568544236,143072,111760,15797,6,7,1605
188064,864691136618471309,132240,119664,16150,6,2,2291
188071,864691135494045328,134368,124400,16376,5,6,2188
189279,864691135738172785,134848,118000,25186,9,4,2341
188138,864691135494862736,145728,113360,15813,6,7,1390
188069,864691136297589787,133440,119488,16337,6,4,1701
188069,864691136297589787,133440,119488,16337,7,4,2361
188069,864691136297589787,133440,119488,16337,6,2,1865
188109,864691136176125446,141024,116752,16058,6,4,2307
189067,864691134918332682,142816,115584,22814,6,2,2227
189067,864691134918332682,142816,115584,22814,7,4,2376
189163,864691135698451733,146816,122128,23417,9,4,7716
189163,864691135698451733,146816,122128,23417,9,4,4878
188104,864691136175395078,139952,125888,16168,5,6,1996
188153,864691135065413956,131248,121840,16599,6,2,2132
188164,864691135941112692,131904,112304,17215,6,7,1296
188192,864691135810305484,138496,119728,17118,6,2,1869
155650,864691135100940576,128144,133744,24048,8,5,2708
188193,864691136577516564,138560,113536,17055,6,7,1277
188213,864691135584594552,142544,124992,16869,5,6,2000
188188,864691135367824633,138064,125152,17028,5,6,1997
267143,864691136619455373,165984,202640,21505,7,3,8810
188179,864691135938236213,135872,125008,16655,5,6,2505
188176,864691135658596738,135088,113680,17053,6,7,1276
188206,864691135610406407,140800,118480,16540,6,2,2480
188189,864691136134683787,138224,125248,16471,5,6,1994
188195,864691136021217016,138832,111440,16630,6,7,1316
155504,864691135479191494,128016,128432,22967,9,6,2287
191018,864691135355913679,139744,135328,24156,8,5,5385
191018,864691135355913679,139744,135328,24156,4,7,3789
191005,864691135864941694,137376,134528,24933,8,5,5227
155492,864691136009073582,125408,138176,23052,8,5,5160
189688,864691135969723749,141504,134656,15606,5,3,2100
189612,864691135910422697,131360,136448,15573,7,4,5585
191112,864691135502522178,137120,132432,25304,8,5,2414
189414,864691135807665949,144704,120192,26347,9,4,7959
188496,864691136312785469,134464,125856,18884,5,6,2321
188495,864691136042107734,134352,114480,18922,6,7,1368
188383,864691135472942642,132256,118640,18197,6,4,1864
188215,864691135403711470,142224,120496,17209,6,2,2136
188215,864691135403711470,142224,120496,17209,7,4,2323
392942,864691135645544943,229408,130528,22658,4,7,3318
188129,864691136926441546,144688,119952,16044,7,4,2563
188416,864691134940963939,141360,121792,18399,7,4,2325
188464,864691135561568481,132480,117984,18793,6,4,1932
188563,864691136419760279,142624,115824,19500,6,6,1828
188553,864691136135726731,139616,116960,19525,6,4,1959
188392,864691135118540765,135152,114608,18593,6,7,1613
188467,864691135394702581,133120,121728,19069,6,2,1896
188439,864691135658886018,146064,116080,18314,6,6,1536
188461,864691135989304320,131216,121952,19110,6,2,2302
422270,864691136100931701,249552,118192,22318,9,4,7345
189750,864691135731124665,132176,128464,16016,9,4,7702
189750,864691135731124665,132176,128464,16016,9,4,4857
188408,864691135610013703,139936,124752,18401,9,4,2223
188315,864691135374011080,138048,119232,17539,6,2,1868
188309,864691135851123655,137184,120544,17296,6,2,1867
188395,864691135918886064,136416,121936,18524,6,2,2420
188395,864691135918886064,136416,121936,18524,7,4,2365
188411,864691134989407354,140304,115328,18357,6,7,1278
188411,864691134989407354,140304,115328,18357,6,6,1557
188446,864691135730105529,146896,124304,18431,5,7,2418
188352,864691135988046595,143456,120000,17652,6,4,2050
188257,864691135700207138,132848,120720,17331,7,4,2363
188507,864691135865557893,136096,120848,19033,6,2,2368
188561,864691135738462321,142192,114608,19258,6,6,1560
188521,864691136726636260,137648,127104,18945,9,4,2576
188391,864691136903986098,134624,118208,18460,6,4,1706
188394,864691136042219094,136016,118864,18655,6,4,1868
188564,864691135617798543,143872,124864,19282,9,4,2571
188359,864691135910596009,145536,125024,17372,9,4,2234
188419,864691135590358539,142704,113472,18156,6,7,1427
188566,864691135783296819,144112,123680,18966,5,7,1947
188427,864691135502910389,143488,119488,18241,6,4,1684
188415,864691135386073941,140992,115328,18155,6,6,1792
188222,864691135937908021,145440,118544,16533,7,4,2602
188466,864691136011603107,132864,114096,18776,6,7,1421
190543,864691136032562875,141696,128384,20693,9,4,7712
188434,864691135865530588,145712,119920,18590,6,2,2317
190243,864691135526892891,137392,138896,18965,8,5,2633
190592,864691135946416676,131936,131968,21824,9,6,2113
190258,864691136209899708,138128,133872,19389,5,3,2138
190351,864691135368012281,135648,136000,20238,7,4,5694
190502,864691136595537570,132272,141040,21030,8,5,5581
190323,864691136926428234,145232,143584,18741,8,5,5328
190323,864691136926428234,145232,143584,18741,4,7,3535
