id,target_id,classification_system,cell_type,pt_root_id,pt_position_x,pt_position_y,pt_position_z
68528,583566,aibs_neuronal,4P,864691136418889367,340032,138448,17494
68529,238899,aibs_neuronal,6P-CT,864691136389486352,157552,245952,23352
68530,568758,aibs_neuronal,6P-CT,864691134917898250,320432,251712,26407
68531,159483,aibs_nonneuronal,astrocyte,864691135761536310,129648,160448,20412
68532,326840,aibs_neuronal,23P,864691136123839014,198784,118016,26141
68533,109044,aibs_neuronal,BC,864691136147152721,113664,131136,15604
68534,564867,aibs_nonneuronal,oligo,864691136577506068,319424,219600,24550
68535,699790,aibs_neuronal,4P,864691136124211494,390672,146832,23494
68536,579991,aibs_nonneuronal,microglia,864691135374152265,333776,91296,20312
68537,201023,aibs_neuronal,5P-IT,864691136208990908,137600,215152,18916
68538,358732,aibs_neuronal,23P,864691135518363018,225904,121744,15831
68539,159050,aibs_neuronal,4P,864691135946598948,116544,166656,18243
68540,408125,aibs_neuronal,6P-IT,864691135987753219,229440,249184,22948
68541,306397,aibs_neuronal,6P-IT,864691135696781978,190080,240336,18537
68542,707212,aibs_nonneuronal,OPC,864691135922703107,390016,186976,22818
68543,555448,aibs_neuronal,4P,864691136539230114,312016,137952,26193
68544,294182,aibs_neuronal,23P,864691135122731815,195408,134560,18152
68545,643421,aibs_neuronal,23P,864691135639825979,360992,125712,16421
68546,332728,aibs_neuronal,5P-IT,864691135910519721,198240,173504,19938
68547,296562,aibs_neuronal,4P,864691136437464222,194592,152032,20531
68548,298863,aibs_neuronal,4P,864691135270673317,180912,164960,21521
68549,339335,aibs_neuronal,6P-CT,864691136057150936,205888,225024,18488
68550,679176,aibs_nonneuronal,OPC,864691135393968117,373632,246608,25554
68551,426932,aibs_neuronal,4P,864691135864829566,259856,153184,26933
68552,67806,aibs_neuronal,23P,864691136108737976,91792,142848,21500
68553,159558,aibs_nonneuronal,astrocyte,864691136965809614,126096,163984,21401
68554,190881,aibs_neuronal,23P,864691135754570189,146784,143232,22603
68555,485757,aibs_neuronal,23P,864691135644635887,289824,104400,22123
68556,430920,aibs_neuronal,MC,864691135490756583,253760,190928,24094
68557,553441,aibs_neuronal,23P,864691136005172938,314560,118800,21574
68558,153118,aibs_neuronal,NGC,864691135308080198,120048,111888,19318
68559,222414,aibs_neuronal,23P,864691135293045004,158304,115312,18089
68560,226055,aibs_neuronal,4P,864691135864090238,150352,158176,21044
68561,36861,aibs_neuronal,5P-IT,864691135428494128,81616,182800,21229
68562,297077,aibs_neuronal,4P,864691135368193273,188560,154688,24221
68563,159141,aibs_neuronal,4P,864691135919096752,130256,162896,18444
68564,126581,aibs_neuronal,5P-IT,864691135293785612,98464,213888,19174
68565,234621,aibs_nonneuronal,microglia,864691136116250788,149008,209728,22316
68566,120282,aibs_nonneuronal,pericyte,864691136762370926,106464,184992,20817
68567,202164,aibs_neuronal,6P-IT,864691135341760453,139664,228272,15101
68568,342973,aibs_neuronal,6P-IT,864691135515916499,199744,246144,15876
68569,273800,aibs_neuronal,6P-IT,864691136487016978,172848,245072,22092
68570,126866,aibs_neuronal,6P-IT,864691135387517057,104720,224272,20823
68571,455308,aibs_neuronal,23P,864691136522293393,274752,133696,17538
68572,590198,aibs_nonneuronal,oligo,864691135012433654,336528,205184,17200
68573,597020,aibs_nonneuronal,oligo,864691135132656800,333808,253120,24685
68574,530356,aibs_neuronal,6P-IT,864691137020442990,297712,208112,17417
68575,393283,aibs_neuronal,23P,864691135776322221,238560,130896,24946
68576,167267,aibs_neuronal,MC,864691136312544061,116064,213248,22593
68577,232283,aibs_neuronal,5P-IT,864691135163092013,153104,208320,19262
68578,556370,aibs_neuronal,4P,864691137054617718,326784,151536,19267
68579,239114,aibs_neuronal,6P-IT,864691135526808411,155504,246272,24461
68580,189040,aibs_neuronal,23P,864691135455103338,137840,111072,22968
68581,499000,aibs_neuronal,6P-IT,864691135135450649,289456,223792,19638
68582,607727,aibs_neuronal,23P,864691135273046801,351840,93200,27533
68583,157889,aibs_neuronal,23P,864691136618390925,128544,146048,24656
68584,534646,aibs_neuronal,6P-CT,864691135341974981,302688,240512,23276
68585,301528,aibs_neuronal,5P-IT,864691135615004363,182848,186960,25670
68586,622472,aibs_nonneuronal,astrocyte,864691135446627156,344528,218080,25741
68587,531668,aibs_neuronal,6P-IT,864691135655143106,298912,210352,15641
68588,457757,aibs_nonneuronal,pericyte,864691135209034617,268944,158016,22445
68589,340002,aibs_neuronal,6P-IT,864691135837723283,197536,222816,22640
68590,330171,aibs_neuronal,MC,864691135495386768,197984,151776,20217
68591,337112,aibs_neuronal,BC,864691136829618798,212224,206768,17865
68592,107217,aibs_nonneuronal,astrocyte,864691134940007523,106528,124208,24064
68593,531257,aibs_neuronal,6P-IT,864691135577885189,295808,203840,24524
68594,470951,aibs_neuronal,6P-CT,864691136371513224,262400,254720,25132
68595,619215,aibs_neuronal,5P-IT,864691135571245605,352496,206352,16248
68596,30059,aibs_neuronal,23P,864691134940718179,79232,145568,20250
68597,172718,aibs_neuronal,6P-IT,864691136311825981,119712,249136,25175
68598,664582,aibs_neuronal,MC,864691135571278061,369840,179168,18077
68599,519188,aibs_neuronal,BC,864691136723335165,309360,115488,26069
68600,113452,aibs_neuronal,23P,864691135387516801,102352,153392,22624
68601,301351,aibs_neuronal,5P-ET,864691136990735509,196160,189136,22931
68602,565620,aibs_neuronal,6P-IT,864691136569934498,314544,239968,18142
68603,393322,aibs_neuronal,4P,864691135502841437,231056,142544,25756
68604,228693,aibs_neuronal,4P,864691135800620386,149744,175168,24242
68605,171386,aibs_neuronal,6P-IT,864691135517630916,116448,241760,18767
68606,653839,aibs_nonneuronal,microglia,864691135700253307,372464,129904,25489
68607,238609,aibs_neuronal,6P-IT,864691135926465806,150784,257280,21640
68608,615196,aibs_neuronal,4P,864691135808364829,353568,147872,26458
68609,194458,aibs_neuronal,4P,864691135586049660,136784,165152,19189
68610,516083,aibs_neuronal,NGC,864691136922722532,302272,93888,22015
68611,296371,aibs_neuronal,4P,864691135570024582,180912,156000,19775
68612,363869,aibs_neuronal,4P,864691136379804373,226416,144528,23541
68613,362851,aibs_neuronal,4P,864691136210027196,222240,159376,18018
68614,534215,aibs_neuronal,6P-IT,864691135464255813,298400,236816,20164
68615,196932,aibs_nonneuronal,astrocyte,864691135195541034,142000,176720,20292
68616,433952,aibs_neuronal,MC,864691135373550536,247872,212240,19357
68617,191603,aibs_neuronal,23P,864691136743438308,143744,152544,15397
68618,425850,aibs_neuronal,4P,864691135404485870,246624,149392,20185
68619,614202,aibs_neuronal,4P,864691136195150412,349600,148672,18974
68620,517685,aibs_neuronal,BPC,864691136274568461,307024,100304,27464
68621,336818,aibs_neuronal,5P-IT,864691135213988920,209840,207248,16201
68622,226388,aibs_neuronal,23P,864691135749796393,150640,145184,23333
68623,392877,aibs_neuronal,23P,864691135509120521,237232,141136,22469
68624,85637,aibs_neuronal,6P-IT,864691135755345874,90832,249328,15182
68625,308569,aibs_nonneuronal,astrocyte,864691136925910858,191520,253248,19488
68626,653480,aibs_neuronal,4P,864691136451806975,369248,142048,22233
68627,168343,aibs_neuronal,6P-IT,864691135135534873,120032,238224,15372
68628,768372,aibs_neuronal,6P-IT,864691135202618550,400224,250560,23948
68629,673340,aibs_nonneuronal,OPC,864691135474628416,376512,218016,25717
68630,536530,aibs_neuronal,6P-IT,864691136065257880,307728,248608,22306
68631,332615,aibs_neuronal,5P-IT,864691136487815954,199024,174768,19483
68632,465502,aibs_neuronal,6P-IT,864691135693582271,276384,214112,15911
68633,451909,aibs_nonneuronal,microglia,864691135315909530,270592,88848,25916
68634,156688,aibs_neuronal,23P,864691136057336024,115328,149312,17718
68635,431698,aibs_neuronal,5P-IT,864691134885813754,260864,196368,16679
68636,435857,aibs_neuronal,6P-CT,864691135593529387,247488,232240,19853
68637,430495,aibs_neuronal,5P-ET,864691135776354989,253424,192112,20801
68638,258042,aibs_neuronal,23P,864691135273289489,176048,140816,19463
68639,106681,aibs_nonneuronal,astrocyte,864691135065021252,111184,124064,19425
68640,491933,aibs_neuronal,4P,864691135738464881,282832,149088,27610
68641,485176,aibs_neuronal,23P,864691135968914789,289072,101808,16046
68642,524956,aibs_neuronal,5P-IT,864691136287408835,297024,164704,20971
68643,617336,aibs_neuronal,MC,864691135462786366,347600,183840,15209
68644,395873,aibs_neuronal,MC,864691136906761838,243936,173648,16311
68645,191775,aibs_neuronal,23P,864691135498040851,132976,150400,17153
68646,187424,aibs_nonneuronal,OPC,864691135697331897,142528,106672,21023
68647,63727,aibs_neuronal,23P,864691135538999410,87728,122656,17005
68648,368695,aibs_neuronal,MC,864691135590307339,227360,182832,26920
68649,116540,aibs_neuronal,4P,864691136011901091,109568,170896,19267
68650,295692,aibs_nonneuronal,microglia,864691135340954821,183520,155680,17088
68651,168943,aibs_neuronal,6P-IT,864691136056395992,126736,237344,17700
68652,360553,aibs_neuronal,23P,864691136389826064,218192,139568,15960
68653,642240,aibs_neuronal,23P,864691135013327862,370112,109456,25306
68654,194085,aibs_neuronal,4P,864691135383590891,145696,166416,17044
68655,420267,aibs_nonneuronal,astrocyte,864691136388555280,257312,106704,17414
68656,434172,aibs_neuronal,6P-IT,864691135397253665,251328,212880,20785
68657,170130,aibs_neuronal,6P-IT,864691135568154604,124112,239232,25165
68658,700166,aibs_nonneuronal,OPC,864691135897785347,380496,157840,26500
68659,517190,aibs_nonneuronal,OPC,864691135644674799,309520,95840,22684
68660,372660,aibs_neuronal,5P-IT,864691135810264780,213232,209920,26580
68661,256606,aibs_neuronal,23P,864691135334986985,169968,118256,21919
68662,614643,aibs_neuronal,4P,864691135118814429,347200,152768,21896
68663,112894,aibs_neuronal,23P,864691136195052008,100272,148848,20239
68664,581631,aibs_neuronal,23P,864691135946648161,342480,99664,27422
68665,205364,aibs_neuronal,6P-IT,864691136812832883,139216,255168,22013
68666,161270,aibs_neuronal,MC,864691136989927061,123808,181088,17174
68667,581623,aibs_neuronal,23P,864691135210035392,340848,108336,27373
68668,104601,aibs_neuronal,NGC,864691135359727192,112944,109504,17749
68669,73283,aibs_neuronal,4P,864691136922727652,96608,169360,15621
68670,359274,aibs_nonneuronal,astrocyte,864691136118450968,227248,113568,19206
68671,692805,aibs_nonneuronal,microglia,864691135824289283,380672,115808,22971
68672,365500,aibs_neuronal,5P-IT,864691136032656827,217056,175792,19992
68673,272893,aibs_nonneuronal,OPC,864691135485624050,172240,257696,16704
68674,360273,aibs_nonneuronal,microglia,864691136700433782,218256,119328,26738
68675,195567,aibs_neuronal,4P,864691136619086477,137968,167552,26194
68676,167561,aibs_neuronal,5P-NP,864691135515912147,115264,222192,24663
68677,290766,aibs_nonneuronal,pericyte,864691135699550818,195056,97200,16940
68678,425407,aibs_neuronal,4P,864691136209741244,253232,155584,17740
68679,223790,aibs_neuronal,23P,864691135293075212,159040,133600,16553
68680,406920,aibs_neuronal,6P-IT,864691136451841791,240096,245072,16045
68681,171315,aibs_nonneuronal,oligo,864691136723369469,114304,251296,18453
68682,689718,aibs_neuronal,23P,864691135212625024,388176,109808,23114
68683,153330,aibs_neuronal,23P,864691135468470866,122880,119088,20785
68684,552174,aibs_nonneuronal,astrocyte,864691135692733375,311760,100736,24522
68685,467463,aibs_nonneuronal,oligo,864691135644594927,264096,235312,17147
68686,187939,aibs_neuronal,23P,864691136326067607,132576,122912,15647
68687,80994,aibs_neuronal,6P-IT,864691134964408607,91984,225184,15199
68688,536583,aibs_nonneuronal,OPC,864691135683777522,300176,243184,23278
68689,563341,aibs_nonneuronal,oligo,864691135373426888,315392,192368,26637
68690,259462,aibs_neuronal,4P,864691136619033997,172224,155008,15324
68691,190012,aibs_neuronal,23P,864691136040231678,137984,128400,17226
68692,163686,aibs_nonneuronal,astrocyte,864691136811806835,119904,195296,15631
68693,208441,aibs_neuronal,6P-IT,864691135693512895,142704,259712,25993
68694,456522,aibs_neuronal,23P,864691135987830019,274400,137200,26981
68695,159600,aibs_neuronal,BPC,864691135590854411,114688,170992,21866
68696,490824,aibs_nonneuronal,pericyte,864691135209034617,291600,143648,19646
68697,167299,aibs_neuronal,MC,864691135468062348,123024,211056,21989
68698,388872,aibs_neuronal,BPC,864691135786343620,239952,104320,15545
68699,395701,aibs_neuronal,4P,864691136032405691,241136,160080,15395
68700,292688,aibs_nonneuronal,astrocyte,864691135654536898,193552,114576,20592
68701,499779,aibs_neuronal,6P-IT,864691135658887298,279120,216672,25911
68702,364096,aibs_nonneuronal,OPC,864691135269806501,222624,144320,26323
68703,426147,aibs_nonneuronal,oligo,864691135775790509,259440,156416,21182
68704,516611,aibs_neuronal,23P,864691136040144126,295728,107904,17663
68705,198251,aibs_nonneuronal,oligo,864691136662173150,140304,197728,15611
68706,653797,aibs_neuronal,4P,864691135725029291,376416,137632,24381
68707,361615,aibs_neuronal,23P,864691136923746532,220080,140624,23057
68708,434709,aibs_neuronal,6P-IT,864691135082275831,257888,212976,24779
68709,265221,aibs_neuronal,4P,864691135342042821,175440,181040,24003
68710,404395,aibs_neuronal,6P-CT,864691135675853508,231616,216944,26764
68711,764161,aibs_nonneuronal,oligo,864691135501801821,400896,215264,23808
68712,361963,aibs_nonneuronal,astrocyte,864691135467569804,219584,132416,25861
68713,116597,aibs_neuronal,4P,864691135772613451,100512,162080,19598
68714,612493,aibs_neuronal,BC,864691135272392465,350096,134800,21030
68715,663039,aibs_neuronal,5P-IT,864691135572278053,360464,163744,27562
