id,target_id,cell_type,pt_root_id,pt_position_x,pt_position_y,pt_position_z
11242,63940,23P,864691135954544904,91968,127104,18320
10776,63909,23P,864691135777391712,85680,121264,18221
1359,64064,23P,864691135012469494,83648,120608,19898
14646,64067,23P,864691135474686784,84384,118032,20299
25895,64075,23P,864691135700263803,86800,118656,20002
30054,64087,23P,864691135776621152,87584,119184,19618
46077,64092,23P,864691136662210526,89280,121440,19956
30099,64094,23P,864691135776643424,89408,123664,19742
17716,64056,23P,864691136194837974,82320,118768,19650
23643,64105,23P,864691135856611374,92848,122592,19691
35232,64109,BPC,864691135939667110,94000,114208,20089
14690,64047,23P,864691136089870135,98176,121200,18999
28855,64017,23P,864691136100769397,95008,126144,19346
3939,64201,23P,864691135162661933,92448,126496,20816
1017,64171,23P,864691134988410490,84128,117824,20579
24816,64178,23P,864691135686879712,85328,115792,20699
4744,64180,5P-PT,864691135210057664,85760,119344,20511
5378,64186,23P,864691135233134937,88176,118896,20478
17250,63910,23P,864691136389493264,85760,126608,18121
39267,64193,BC,864691136031763387,89888,123120,20439
16280,23234,23P,864691136227702865,76048,119040,20026
16272,64000,23P,864691136109683384,91184,126000,19183
16268,64072,23P,864691136209946300,84976,127328,19681
15462,63997,23P,864691135754454733,90688,126352,19438
25178,63946,23P,864691136966521038,93520,126640,18546
31323,64084,5P-PT,864691136334334387,87760,119280,20242
41331,63950,23P,864691135195378986,94800,118672,18454
35731,63927,23P,864691135342080177,88640,117520,18105
38689,64111,23P,864691135359705688,94608,123312,20191
8068,63942,23P,864691135349254615,92288,118608,18759
29272,64076,NGC,864691135762036278,86560,119696,19884
43815,23156,BPC,864691136371144072,73280,122560,20210
35110,63947,23P,864691135476915880,93952,115520,18077
29210,64009,23P,864691135490969447,92608,120144,18999
35506,64143,23P,864691135502499394,98336,122048,20087
38157,64106,23P,864691136952832223,92944,124304,19841
41863,64181,23P,864691135590887179,85808,121056,20984
36747,64199,23P,864691136297652251,91088,126288,21019
26359,63936,23P,864691135654980802,91920,118720,18281
14693,23331,23P,864691135474708288,78928,118016,19723
26924,23333,23P,864691135730185913,79216,119808,19630
20730,23343,NGC,864691135581598829,79936,120656,20311
10216,332833,5P-IT,864691135387371905,209328,174304,20004
3463,23363,23P,864691135134698777,68816,118448,20634
23051,23388,23P,864691136926252362,76816,119248,20516
19199,23372,4P,864691135564685911,71520,124928,20661
29191,23374,23P,864691135761535798,71904,118240,20687
10469,23378,23P,864691135385179733,73472,120624,20722
29455,23382,23P,864691135771640315,74208,123040,20637
47341,24075,23P,864691136091920820,79168,128832,15013
34499,23332,23P,864691135969795429,79024,122176,19743
47902,23487,6P-CT,864691135700202786,70112,126640,21214
3469,23394,23P,864691135134701337,78992,126624,20967
37009,23417,6P-CT,864691135341569221,66352,125232,21493
14652,23398,23P,864691135474688832,80048,123488,20593
36315,23399,4P,864691135953781512,80448,114656,21033
47080,63898,23P,864691135808314909,83408,117632,18041
18184,23416,6P-CT,864691135536515177,66752,120864,21100
13378,23580,6P-IT,864691136227921745,74992,127120,21271
6954,23385,23P,864691135208201081,75104,125840,20698
1106,23389,23P,864691135118847709,77184,121024,20696
41022,23550,6P-CT,864691136123767846,73968,119936,21301
8768,23600,23P,864691135354947279,76464,116032,21335
9578,23990,23P,864691135368338014,72960,142432,14986
30790,25017,23P,864691135783403116,79248,135680,16907
34008,25033,4P,864691135909049513,81376,142864,16502
42097,195339,5P-IT,864691135919303088,132528,167376,24869
12362,25522,23P,864691135429211833,81840,136160,17940
11845,365555,4P,864691135468800594,225264,172368,19602
