id,target_id,cell_type,pt_root_id,pt_position_x,pt_position_y,pt_position_z
127885,611294,neuron,864691136024578105,359648,120576,24934
127886,517243,neuron,864691136602187217,304016,108848,23449
127887,106489,neuron,864691135407928521,106912,121280,17940
127888,607448,not-neuron,864691136011027875,348080,94416,25535
127889,172389,not-neuron,864691136209012156,121600,245520,23266
127890,239575,neuron,864691136290994317,154720,259568,15433
127891,373570,neuron,864691135455049322,216064,226768,19419
127892,245171,not-neuron,864691134684598111,161216,284896,24698
127893,463450,neuron,864691135809464012,276448,206496,17981
127894,136670,neuron,864691137020183406,110368,259808,21182
127895,524972,neuron,864691136267446004,297504,168128,20961
127896,225243,neuron,864691136040225022,149392,156256,16228
127897,568930,neuron,864691134989181306,325200,243184,27004
127898,537038,not-neuron,864691135345126559,301536,244336,25735
127899,516477,not-neuron,864691135937182212,308496,98784,14919
127900,256521,neuron,864691135572379429,172000,122128,21628
127901,472084,neuron,864691136546461181,277984,264336,17656
127902,315889,not-neuron,864691135345576115,181296,280224,26017
127903,261987,neuron,864691136391314047,175040,167968,17462
127904,200881,not-neuron,864691136078130389,136800,210832,18536
127906,297896,not-neuron,864691135946639969,183984,168128,16841
127907,307112,neuron,864691136483474220,187104,235472,23005
127909,434189,neuron,864691136578523668,256784,209520,20658
127910,123149,not-neuron,864691135639394332,111680,197472,16967
127911,428227,not-neuron,864691133807578279,254512,162064,19642
127912,341763,neuron,864691135429271088,197312,234336,19996
127913,455497,neuron,864691135941970804,270016,142352,19185
127914,271886,neuron,864691135988683008,177152,233216,23849
127915,489732,neuron,864691135975329391,284992,127760,27452
127916,608677,neuron,864691135348262103,348928,95392,23682
127917,87249,neuron,864691136922722276,89984,245696,19214
127918,109179,neuron,864691136136639357,99056,140112,16843
127919,300626,not-neuron,864691136090226231,184368,184656,19430
127920,237388,neuron,864691135759133262,153136,252864,14910
127921,517674,neuron,864691135730708409,304656,99152,27776
127922,692849,not-neuron,864691135649750585,389296,112832,22886
127923,294106,neuron,864691135135578649,180592,130848,18196
127924,562452,not-neuron,864691135987200003,322368,202368,19047
127925,598497,not-neuron,864691135188983647,335984,272448,19464
127926,119577,not-neuron,864691136209038780,110464,188576,16760
127927,366531,neuron,864691135294138124,221440,163280,27351
127928,587823,neuron,864691135476969640,335664,165440,23506
127929,410555,not-neuron,864691135686908896,236608,268048,23122
127930,152882,neuron,864691135474687040,125728,117664,16663
127931,539290,neuron,864691136423374639,311216,259584,24356
127932,468010,neuron,864691135851332295,272816,232560,19593
127933,621669,neuron,864691135508707337,349856,222160,19617
127934,239187,neuron,864691135777108669,148688,247808,25099
127935,671473,neuron,864691135172660039,373472,215776,19877
127936,341804,neuron,864691136267175924,203808,228112,20158
127937,524666,not-neuron,864691135366931193,300080,167072,19441
127938,556828,not-neuron,864691135104743501,312240,154704,22769
127939,505202,not-neuron,864691135070551754,286240,268768,22415
