post_id,pre_id,size,delta_ori
1048,1325,1364,7
1048,1354,2408,2
1048,1795,3384,4
1343,875,40300,-6
1343,1815,2960,-1
1343,4,2972,4
1343,2533,4684,6
1343,357,1092,2
1343,2307,3284,-4
1343,2083,2692,-8
1343,776,7804,-1
1343,1477,6692,-3
1343,1150,3672,3
1343,825,29576,3
1871,2222,1552,-5
1871,2415,4476,-6
1871,913,16992,-12
1871,2559,3284,-5
1871,2046,24372,-14
1871,2575,3272,-14
1871,2748,1504,-7
1833,1607,1832,-3
1833,357,3004,-4
1833,1260,4152,-7
1833,1411,5548,-7
1833,390,7128,-7
1833,576,4600,-14
1833,2751,20320,-15
1833,1832,8516,-11
1833,1638,17212,-3
1833,650,14780,-13
1833,1819,3624,-2
2185,2205,4220,7
2185,1399,28852,4
2185,1559,32176,11
2185,2022,260,9
2185,796,5300,-4
2185,2376,11044,8
2185,1477,11432,2
2185,1733,17664,11
2185,2297,284,8
2185,2304,1328,11
2185,1760,6600,3
2185,2054,12004,-3
2185,687,8456,8
2185,2511,30344,5
1216,100,3548,6
1216,1745,17576,10
1216,2263,20372,8
1216,2082,2352,6
1216,2506,11684,4
1216,2516,11808,13
1216,1073,13396,-1
1216,2509,10900,5
1216,2762,168,-2
1216,7,19264,7
1216,1515,13200,1
1216,174,36860,4
1216,1963,2964,2
1530,272,2660,-1
1530,1601,4392,6
1530,2559,188,6
1530,1529,30260,-2
1530,698,4248,0
1530,1397,16912,1
1530,2023,23576,3
1530,2289,2508,-3
1530,210,13484,-2
1530,756,236,7
1530,2348,13320,10
1530,2254,1364,5
1530,52,2032,5
1530,1241,2568,-2
1530,197,5956,0
1530,174,3152,3
1530,2630,15092,6
1530,2735,800,5
1530,1878,2824,0
2390,2412,30172,4
2390,1613,2444,6
2390,2359,3024,-3
2390,1377,14980,0
2390,2631,19728,4
2390,2474,2164,0
2390,1858,1328,6
2390,2101,4112,8
2390,2559,4728,2
2390,2067,836,-4
2390,476,3660,1
2390,256,11064,4
2390,1679,3084,-1
2390,1256,3568,0
2390,2748,21480,0
706,410,28424,10
706,1337,8144,-1
706,1440,15856,-2
706,1960,6664,12
706,1303,4532,9
706,1064,14888,12
706,1887,5160,2
706,1601,10264,6
706,2687,23244,1
706,877,6368,9
706,951,26508,8
706,1170,4664,1
706,2246,2988,7
706,210,2220,-2
706,2514,2376,-1
706,2566,58964,-1
706,1733,3624,12
706,2613,356,10
706,1541,5276,-1
706,1161,7356,9
2082,43,15416,0
2082,2055,15060,0
2082,1691,19904,-8
2082,1437,3868,1
2082,926,6744,-8
2082,37,6000,-7
2082,1377,4688,-1
2082,579,9452,0
2082,2747,2168,1
2082,1864,4624,4
2082,1660,12144,-1
2082,2680,4860,0
2082,708,2836,0
2082,1745,7900,4
2082,1576,6680,2
2082,2748,13484,-1
2082,2511,11712,1
2082,527,3216,-4
2082,743,20068,-6
2082,645,3876,-7
2082,910,1696,1
2082,646,2476,-7
2082,655,13280,-1
2082,1263,3664,-2
2082,354,2768,5
2082,451,15956,0
2082,1238,1412,6
2082,174,11376,-2
2082,1335,3464,4
2082,1028,1500,7
2082,1442,14048,1
2082,424,4160,2
2082,2303,12336,-8
2082,1829,872,5
2082,2557,256,-8
2148,1682,2676,-11
2148,2134,24368,0
2148,1515,33768,-10
2148,174,103664,-7
2148,100,2600,-5
2148,1346,1940,-8
2148,2067,8212,-10
2148,1634,4176,-5
2148,224,5824,-11
2148,746,32032,-11
2148,295,37796,-7
2148,1073,7960,-12
2148,1745,76448,-1
2148,2236,660,-9
2148,2748,21536,-6
1137,519,17016,10
1137,1198,11948,6
1137,2413,30144,8
1137,216,836,0
1137,746,7448,1
1137,920,10856,10
1137,1878,11260,2
1137,2748,11316,6
1137,2855,13320,1
2424,324,740,-4
630,2747,248,9
630,801,2336,3
630,1674,2512,15
630,736,14028,0
630,2440,13084,8
630,1684,28144,3
630,592,11264,10
630,472,23064,8
630,1173,26040,0
630,137,17868,11
630,20,19424,11
630,657,1668,11
260,362,12424,-6
260,244,12388,-12
260,327,1324,-6
260,1794,17328,0
260,999,324,-2
260,174,38640,-8
260,2086,572,-2
260,67,7964,-10
260,488,10236,1
260,2675,8708,-14
260,1729,7596,-7
260,93,6108,-6
260,424,2416,-4
260,2375,15184,0
260,1368,12128,-10
260,2506,36768,-8
260,2352,16016,0
260,1745,20704,-2
260,1868,2656,-14
260,2748,9236,-7
260,1206,15460,-2
260,1222,3348,-5
260,1073,10200,-13
1168,2514,16704,-8
1168,1576,3952,0
1168,58,18484,-7
1168,1173,3472,-10
1168,447,540,-2
1168,2731,4544,2
1168,2480,5884,0
1168,2095,14552,-8
1168,63,5900,-8
1168,2272,10584,-6
1168,472,12688,-2
1168,1377,8036,-3
708,2645,19084,-8
708,1377,35216,-1
708,1826,12568,-2
708,1588,3688,5
708,2446,14172,-1
708,1173,4212,-8
708,1692,10192,-1
708,2280,2868,-4
708,1435,212,-5
708,1681,5076,0
708,909,11600,0
708,937,3268,7
708,760,3340,-8
1808,2057,1064,-5
1808,569,12068,-6
1808,195,2160,0
1808,1457,4048,-3
1808,2459,420,-2
1808,746,50956,-6
1808,2748,25316,-1
1808,1375,26100,2
1808,2589,30088,-8
1808,98,8592,-8
2163,1634,21832,-4
2163,2516,3776,3
2163,2630,6724,-3
2163,2559,2864,-3
2163,2471,692,-8
2163,2748,20404,-5
2163,2348,33804,2
2163,1602,2936,-5
2163,485,18924,-12
2163,313,21924,3
2163,174,12532,-6
2163,447,3272,-4
2163,1763,2692,-10
2163,93,5792,-4
2163,1745,9548,0
2163,1729,776,-5
2163,1210,4676,-4
2163,2320,1752,-7
2163,1794,3096,2
2163,743,7280,-10
2163,1606,5988,-3
2163,734,1092,-4
2163,2334,368,-7
2163,2747,22936,-3
2163,2415,260,-4
2163,100,196,-4
2163,1417,5624,1
2163,746,856,-10
2163,2729,1188,0
615,2402,228,13
615,2036,12096,4
615,277,10544,5
615,352,31388,6
615,326,13340,5
615,502,1800,1
615,1549,16756,10
615,1384,24188,10
2774,401,6992,-10
2774,833,9836,-14
2774,648,16120,-14
2774,1553,12044,1
2774,2509,10684,-7
2774,1976,8968,-5
672,2645,2640,-12
672,2101,2472,3
672,2199,1376,3
672,1864,3124,0
672,2395,22616,-4
672,399,5212,0
672,235,6760,2
672,2655,1336,3
672,408,192,-4
672,2258,3828,3
672,2633,9688,-3
672,1681,11724,-4
672,2246,8100,-2
672,2529,21996,-10
672,1269,592,-5
672,1917,5156,-5
672,2429,35776,-6
672,2160,3768,-10
672,1868,22204,-12
672,780,4152,-12
672,246,5860,-12
672,727,1036,-4
672,1829,4256,1
672,2201,10772,3
672,1321,9996,-12
672,2501,2724,-6
672,1746,9776,-12
1028,1894,984,-4
1028,330,2468,-6
1028,2280,10028,-11
1028,1031,3180,-12
1028,491,3640,-4
1028,1829,20028,-2
1028,1708,3788,-10
1028,2855,4100,-13
1028,435,2404,0
1028,692,1220,-8
1028,2486,3588,-7
1028,1200,252,-7
263,1030,14148,0
263,592,7752,9
263,648,4268,-1
263,2309,13416,14
263,2094,28952,4
263,926,13968,-1
263,1908,9348,6
263,1173,14580,-1
263,1909,28716,10
263,2747,724,8
263,485,9200,-1
263,20,23500,10
263,1864,332,10
263,2481,3944,14
263,1745,1708,10
263,1664,2960,14
263,2796,7656,3
1269,1609,260,-6
1269,89,1764,3
1269,478,5604,2
1269,330,328,2
1269,824,7984,-7
1269,2735,1040,1
1269,37,9164,-6
1269,875,3976,-4
1269,1109,8296,1
1269,2185,2992,-3
1269,1576,2264,3
1269,110,12824,1
1269,629,284,-5
1269,1377,4988,0
1269,993,6540,8
1269,1601,13272,2
1269,1303,7384,5
1269,977,4220,-4
1269,2297,2816,5
1269,257,972,-3
1269,1276,14796,-1
1269,1917,5232,0
1269,984,260,4
1269,570,8460,7
1269,1373,15584,-6
1269,1028,2064,8
1269,1691,2672,-7
1269,2327,7620,-3
1269,1040,7960,-2
1269,655,11148,0
1269,177,13976,1
1269,785,3632,-7
972,2506,19308,-3
972,2116,3000,-9
972,2186,5556,-1
972,1261,3220,-5
972,525,4336,3
972,2384,19712,-2
972,1613,388,4
972,1970,18444,1
972,2748,5004,-2
972,785,10296,-9
972,2434,4616,6
972,500,6828,6
972,2293,26456,2
972,2390,1684,-2
972,2559,15136,0
972,728,16512,-1
972,1397,5308,-5
972,698,27608,-6
2532,380,24696,-3
2532,1373,2312,-10
2532,2424,188,0
2532,1331,5420,-8
2532,2321,1332,2
2532,174,2640,-5
2532,2748,8700,-4
2532,1873,3036,-8
2532,1314,32496,-9
2595,1592,12528,-4
2595,1042,7708,-10
2595,2184,6284,-9
2595,840,352,-3
2595,1504,9720,-3
2595,2704,960,3
2595,366,7736,-2
2595,1836,3088,-3
751,1077,428,1
751,1503,2764,-9
751,358,18540,-12
751,1103,2684,-6
751,2841,5764,1
751,2716,3660,-2
751,2473,5388,-9
751,648,15800,-14
751,861,27680,-14
1360,2447,4936,-7
1360,1366,1648,1
1360,555,10124,-5
1360,648,8756,-12
1360,219,15012,-4
1790,2642,8872,-6
1790,556,6984,-8
1790,2588,4880,-8
1790,1170,4096,-10
1780,1730,4836,3
1780,2078,2400,-12
1780,2384,2096,-5
1780,1778,192,0
1780,2416,15220,-10
1780,27,10504,3
451,1864,4996,4
451,2229,252,0
451,1586,2584,0
451,345,4600,0
451,2497,5128,0
451,299,5532,-2
451,2384,1672,-1
451,937,2896,7
2537,799,500,-1
2537,2061,12220,10
2537,2723,4272,8
2537,680,16748,10
2537,1289,3444,1
2537,1294,3452,4
2537,556,5016,5
2537,1977,6048,0
2537,1816,1000,5
2537,2331,5820,10
2537,864,9304,6
2537,1224,10068,6
2537,1553,1804,14
2537,469,2680,7
2537,1291,24588,10
1154,1127,26696,-7
