neuron_id,angle_shown,rate,rate_error
864691135469942098,2,6.81925884,0.45501661
864691135469942098,3,4.78078408,0.35544244
864691135469942098,4,4.60872507,0.35411792
864691135469942098,5,3.36173796,0.20534801
864691135469942098,6,3.52266249,0.27958615
864691135469942098,7,4.73832722,0.29370248
864691136388267639,0,2.50185336,0.18043425
864691136388267639,1,1.63802636,0.13825188
864691136388267639,2,1.44634393,0.13277767
864691136388267639,3,0.9392982,0.08263227
864691136388267639,4,1.23839795,0.19436514
864691136388267639,5,1.06212193,0.0942443
864691136388267639,6,1.51478981,0.1263062
864691136388267639,7,2.28100408,0.15471769
864691135726289983,0,8.60037716,0.41524522
864691135726289983,1,8.47076598,0.41729636
864691135726289983,2,6.82276349,0.36736864
864691135726289983,3,5.08865069,0.27808559
864691135726289983,4,6.29186663,0.33604077
864691135726289983,5,4.47655911,0.22733785
864691135726289983,6,5.5430541,0.30332617
864691135726289983,7,7.59418069,0.38890412
864691137198234177,0,2.06634564,0.21239923
864691137198234177,1,0.972861,0.11706561
864691137198234177,2,0.85664306,0.09330542
864691137198234177,3,2.76227651,0.39935881
864691137198234177,4,6.84009492,1.06917801
864691137198234177,5,3.06161986,0.26601028
864691137198234177,6,1.6094255,0.15994428
864691137198234177,7,1.91990191,0.15716002
864691136023824441,0,0.63038373,0.06186176
864691136023824441,1,0.72546934,0.06768289
864691136023824441,2,0.97628746,0.09374446
864691136023824441,3,0.93029029,0.07891062
864691136023824441,4,0.95021745,0.10172814
864691136023824441,5,0.28903315,0.03254378
864691136023824441,6,0.5400035,0.06035241
864691136023824441,7,1.00360009,0.07707184
864691135526695771,0,5.48245093,0.42503433
864691135526695771,1,4.71574057,0.3802286
864691135526695771,2,8.10929581,0.64810048
864691135526695771,3,5.79917471,0.52219159
864691135526695771,4,6.78134431,0.79950667
864691135526695771,5,2.92994585,0.22171808
864691135526695771,6,3.12767497,0.32849574
864691135526695771,7,2.68735382,0.23130341
864691135694415551,0,2.46023932,0.25167012
864691135694415551,1,8.54955597,0.972885
864691135694415551,2,7.97490452,0.78737082
864691135694415551,3,10.61819028,1.05740213
864691135694415551,4,6.10952138,0.6347282
864691135694415551,5,10.72669896,1.1243763
864691135694415551,6,6.70294649,0.58677957
864691135694415551,7,7.60320778,0.78618733
864691135684301810,0,9.17033169,0.63525629
864691135684301810,1,6.23922946,0.71442916
864691135684301810,2,5.13555409,0.70455653
864691135684301810,3,3.33227973,0.31909364
864691135684301810,4,3.13020248,0.23264351
864691135684301810,5,4.81596808,0.41054665
864691135684301810,6,3.34333608,0.32597342
864691135684301810,7,6.77405916,0.51062395
864691135911348649,0,7.4545442,0.38824593
864691135911348649,1,6.7733447,0.33484956
864691135911348649,2,5.54179655,0.33622611
864691135911348649,3,4.62306484,0.28336879
864691135911348649,4,5.14512183,0.27909411
864691135911348649,5,3.50435772,0.24467015
864691135911348649,6,2.43502307,0.17318965
864691135911348649,7,3.82685713,0.25573925
864691135464461125,0,4.18885102,0.48768522
864691135464461125,1,2.6561995,0.3579808
864691135464461125,2,7.08616909,0.76464214
864691135464461125,3,6.81218598,0.58673882
864691135464461125,4,6.81960443,0.54901391
864691135464461125,5,7.12510616,0.61433671
864691135464461125,6,5.20348115,0.43328607
864691135464461125,7,2.82505672,0.28814675
864691135395447029,0,5.77788757,0.50582361
864691135395447029,1,2.16897901,0.23662437
864691135395447029,2,0.69653904,0.10088688
864691135395447029,3,0.9154491,0.10435474
864691135395447029,4,1.65506574,0.17655423
864691135395447029,5,1.37084899,0.15769815
864691135395447029,6,1.80896002,0.22807019
864691135395447029,7,2.85674208,0.29626886
864691135851603655,0,3.26003187,0.36249763
864691135851603655,1,2.04947648,0.24226776
864691135851603655,2,3.20025567,0.26823901
864691135851603655,3,5.03854405,0.44969075
864691135851603655,4,5.10393444,0.41998141
864691135851603655,5,4.56177963,0.38043642
864691135851603655,6,3.27223011,0.29536605
864691135851603655,7,2.88501093,0.29305535
864691135163490861,0,0.95574068,0.10203152
864691135163490861,1,1.27122714,0.10038959
864691135163490861,2,1.07260952,0.09883937
864691135163490861,3,1.32961705,0.10811912
864691135163490861,4,1.98605394,0.17938162
864691135163490861,5,1.00746222,0.08693592
864691135163490861,6,1.18050188,0.08954258
864691135163490861,7,1.0989778,0.11998275
864691135946298660,0,8.46857801,0.61979063
864691135946298660,1,7.21164243,0.56420079
864691135946298660,2,10.52328004,1.13604042
864691135946298660,3,11.65794327,1.35750782
864691135946298660,4,10.96396781,0.74521263
864691135946298660,5,16.49479946,1.23520028
864691135946298660,6,7.31761464,0.63247799
864691135946298660,7,12.12625635,0.99702895
864691136974794268,0,3.27088264,0.1912313
864691136974794268,1,4.32317598,0.23877759
864691136974794268,2,2.32101448,0.18017152
864691136974794268,3,2.35345879,0.15777814
864691136974794268,4,1.53291494,0.12081742
864691136974794268,5,2.5781905,0.18030566
864691136974794268,6,2.58695589,0.17026239
864691136974794268,7,3.5028387,0.23662589
864691135545877544,0,5.5320753,0.41093993
864691135545877544,1,4.38838748,0.50637733
864691135545877544,2,1.81187349,0.2133877
864691135545877544,3,1.32920128,0.17294837
864691135545877544,4,1.04738196,0.1272214
864691135545877544,5,1.81725023,0.31625463
864691135545877544,6,0.90176669,0.08913431
864691135545877544,7,4.44401987,0.39196125
864691136481342436,0,4.32580957,0.24025736
864691136481342436,1,2.11604695,0.1463617
864691136481342436,2,1.39351228,0.12430548
864691136481342436,3,3.05080783,0.20141012
864691136481342436,4,1.91382011,0.15268385
864691136481342436,5,2.74720064,0.17773431
864691136481342436,6,3.04796102,0.19771186
864691136481342436,7,4.20293483,0.27082058
864691135479403462,0,6.89639427,0.47882357
864691135479403462,1,5.98269338,0.45979265
864691135479403462,2,4.89456372,0.40782341
864691135479403462,3,5.01080071,0.33314927
864691135479403462,4,6.19489875,0.48445318
864691135479403462,5,6.05168141,0.49310718
864691135479403462,6,8.34939749,0.67261816
864691135479403462,7,7.0344316,0.48670273
864691135566419991,0,4.06826533,0.3567034
864691135566419991,1,3.12129679,0.18932021
864691135566419991,2,1.95734928,0.14762374
864691135566419991,3,2.83299986,0.18660179
864691135566419991,4,3.84758514,0.27614182
864691135566419991,5,2.35176384,0.15259887
864691135566419991,6,2.43843372,0.17691472
864691135566419991,7,3.08673373,0.22804298
864691135719225649,0,8.67196534,0.73300902
864691135719225649,1,4.43917126,0.44447118
864691135719225649,2,5.99482238,0.52287952
864691135719225649,3,9.55712005,0.79026343
864691135719225649,4,12.98765306,1.34417283
864691135719225649,5,10.37447987,0.83262781
864691135719225649,6,7.32072878,0.66532836
864691135719225649,7,10.98218943,0.95936046
864691135082303223,0,2.28744635,0.21903823
864691135082303223,1,3.52463607,0.31940601
864691135082303223,2,2.59879903,0.16989509
864691135082303223,3,1.97890624,0.14692889
864691135082303223,4,1.94803986,0.15730276
864691135082303223,5,1.70027255,0.13360689
864691135082303223,6,1.91639378,0.1479959
864691135082303223,7,1.93719348,0.17392323
864691135013293558,0,2.52348422,0.26101737
864691135013293558,1,1.14028393,0.10658854
864691135013293558,2,0.88497031,0.07272248
864691135013293558,3,0.99656347,0.12852492
864691135013293558,4,1.29807189,0.09224309
864691135013293558,5,1.01213568,0.08038385
864691135013293558,6,0.77055274,0.06669367
864691135013293558,7,2.04514196,0.20672191
864691136042154582,0,17.09601588,1.09269224
864691136042154582,1,17.07743718,1.09928594
864691136042154582,2,3.91627339,0.44503264
864691136042154582,3,1.84863769,0.29049828
864691136042154582,4,0.62426415,0.1199682
864691136042154582,5,1.44824085,0.31858072
864691136042154582,6,3.52535224,0.57858765
864691136042154582,7,8.59425458,0.73198984
864691135741536875,0,8.06855385,0.74375245
864691135741536875,1,1.8998291,0.21608527
864691135741536875,2,1.27829066,0.16883408
864691135741536875,3,3.18637118,0.34680044
864691135741536875,4,4.64219903,0.72636561
864691135741536875,5,3.81562369,0.48604624
864691135741536875,6,2.41743051,0.26902936
864691135741536875,7,9.50799468,1.09759954
864691136106824153,0,9.76908762,0.74347748
864691136106824153,1,18.97896753,1.65136565
864691136106824153,2,14.34744995,1.20651474
864691136106824153,3,15.86481567,1.39745488
864691136106824153,4,19.69364882,1.8102041
864691136106824153,5,12.0943304,1.10344976
864691136106824153,6,18.52394358,1.66488633
864691136106824153,7,21.28602647,1.96689146
864691135737636740,0,6.82680965,0.37723841
864691135737636740,1,8.04297877,0.38404921
864691135737636740,2,6.00161549,0.32549418
864691135737636740,3,6.3863645,0.34256383
864691135737636740,4,6.22464048,0.29974994
864691135737636740,5,5.93028336,0.27366137
864691135737636740,6,6.95082092,0.34143703
864691135737636740,7,5.75372882,0.30058859
864691135777352032,0,15.6667766,1.21311371
864691135777352032,1,12.78252832,1.56343781
864691135777352032,2,7.58720442,0.9199359
864691135777352032,3,3.06582455,0.38862345
864691135777352032,4,4.10396263,0.49393003
864691135777352032,5,8.39384958,1.01215675
864691135777352032,6,5.72793895,0.58329329
864691135777352032,7,22.2051309,2.07741554
864691135618293647,0,14.67050156,0.96710422
864691135618293647,1,9.88657433,0.90894759
864691135618293647,2,1.9893946,0.23942354
864691135618293647,3,1.42693423,0.19762719
864691135618293647,4,3.51084372,0.41889249
864691135618293647,5,1.44511713,0.15362799
864691135618293647,6,2.41799895,0.33218692
864691135618293647,7,6.28967686,0.60913736
864691135195528490,0,5.42786534,0.43936862
864691135195528490,1,6.66323954,0.73315298
864691135195528490,2,3.95548645,0.32811488
864691135195528490,3,6.59008833,0.640969
864691135195528490,4,7.19329407,0.66734577
864691135195528490,5,7.14404278,0.61510651
864691135195528490,6,7.91677849,0.80103303
864691135195528490,7,9.77120878,0.92256863
864691135852304583,0,2.87343473,0.22887677
864691135852304583,1,3.53474532,0.22488544
864691135852304583,2,1.52345115,0.10649633
864691135852304583,3,1.7713993,0.13475389
864691135852304583,4,1.16710648,0.08804451
864691135852304583,5,2.12046705,0.19025022
864691135852304583,6,1.40857206,0.11058286
864691135852304583,7,1.93576381,0.14911013
864691135856806190,0,2.85074708,0.19730457
864691135856806190,1,2.62301499,0.24973445
864691135856806190,2,1.37991412,0.11175029
864691135856806190,3,2.02577565,0.17069647
864691135856806190,4,0.96700293,0.09667541
864691135856806190,5,2.7540052,0.2615664
864691135856806190,6,1.967422,0.18254573
864691135856806190,7,4.22220331,0.34769534
864691135583740280,0,2.49981647,0.21144814
864691135583740280,1,3.34898157,0.23532658
864691135583740280,2,3.78840243,0.25331398
864691135583740280,3,4.05017365,0.31718146
864691135583740280,4,1.87755667,0.1314977
864691135583740280,5,1.99045312,0.1571209
864691135583740280,6,2.18334167,0.20966744
864691135583740280,7,1.94209848,0.13762654
864691135783804467,0,2.84194585,0.21515082
864691135783804467,1,3.8281222,0.30508627
864691135783804467,2,4.42365909,0.28527213
864691135783804467,3,6.39110618,0.43464421
864691135783804467,4,6.37219527,0.46365478
864691135783804467,5,3.09395552,0.21376779
864691135783804467,6,2.14854163,0.17362073
864691135783804467,7,1.86742079,0.16530918
864691135546333992,0,9.75298878,0.85922304
864691135546333992,1,3.20696572,0.36192054
864691135546333992,2,3.91056113,0.48797605
864691135546333992,3,10.52806862,1.09314957
864691135546333992,4,11.77053274,1.17719813
864691135546333992,5,52.90327781,3.90874975
864691135546333992,6,47.04779224,3.20881942
864691135546333992,7,41.48220531,3.07697641
864691135404374766,0,5.91747542,0.714225
864691135404374766,1,10.57171621,1.23882071
864691135404374766,2,7.35334383,0.82602027
864691135404374766,3,20.86267931,1.81487448
864691135404374766,4,28.71077874,1.85225428
864691135404374766,5,20.94311372,1.84231007
864691135404374766,6,7.60457704,0.70338212
864691135404374766,7,4.57429799,0.462269
864691135475520320,0,3.90589251,0.28831311
864691135475520320,1,3.56417332,0.30312198
864691135475520320,2,1.90394957,0.17809563
864691135475520320,3,1.81291519,0.18548847
864691135475520320,4,1.10973181,0.09992111
864691135475520320,5,1.69883502,0.14155684
864691135475520320,6,3.68524693,0.61962477
864691135475520320,7,2.91001909,0.359134
864691135082308343,0,8.63520853,0.49949734
864691135082308343,1,6.32006443,0.4787832
864691135082308343,2,2.95011577,0.28191916
864691135082308343,3,2.16351957,0.18092192
864691135082308343,4,2.97565474,0.21598009
864691135082308343,5,1.94068234,0.1929774
864691135082308343,6,4.42406898,0.29014901
864691135082308343,7,7.1554749,0.59496075
864691136912996337,0,18.78152553,1.03568097
864691136912996337,1,20.3268896,1.16191482
864691136912996337,2,15.76162061,0.99517689
864691136912996337,3,21.7155119,1.24202476
864691136912996337,4,23.74112113,1.17818806
864691136912996337,5,20.03926395,1.18775751
864691136912996337,6,15.30134761,0.90016123
864691136912996337,7,13.40543405,0.81339776
864691136195108940,0,1.3191371,0.11012252
864691136195108940,1,1.7128103,0.15100956
864691136195108940,2,1.83064939,0.14732208
864691136195108940,3,3.29216717,0.24294202
864691136195108940,4,3.55747651,0.26165415
864691136195108940,5,1.63370473,0.16222794
864691136195108940,6,1.3160917,0.13818651
864691136195108940,7,1.25473846,0.12280069
864691136924049892,0,12.17928116,0.51843708
864691136924049892,1,11.74669819,0.5460195
864691136924049892,2,9.04412319,0.47804535
864691136924049892,3,9.21739195,0.45971074
864691136924049892,4,8.34538547,0.45006006
864691136924049892,5,8.85904967,0.55513283
864691136924049892,6,7.48041118,0.39973476
864691136924049892,7,10.35814826,0.45769946
864691135375041353,0,2.73772728,0.1977146
864691135375041353,1,3.04208978,0.25643119
864691135375041353,2,2.51812495,0.25762705
864691135375041353,3,2.33859923,0.1934961
864691135375041353,4,3.80058709,0.27193713
864691135375041353,5,3.33473684,0.22700401
864691135375041353,6,2.74680701,0.20158987
864691135375041353,7,4.19297908,0.37002535
864691135014013174,0,4.82031895,0.53820097
864691135014013174,1,5.36101642,0.69619432
864691135014013174,2,1.1720854,0.14516542
864691135014013174,3,3.96784879,0.3905561
864691135014013174,4,5.56798634,0.61637848
864691135014013174,5,4.83922435,0.47065633
864691135014013174,6,8.80349249,0.86812475
864691135014013174,7,7.5457821,0.70222079
864691135214265984,0,7.37656084,0.71882666
864691135214265984,1,3.14136561,0.31338466
864691135214265984,2,4.64534749,0.35612063
864691135214265984,3,3.39942613,0.28888976
864691135214265984,4,6.19346535,0.56610196
864691135214265984,5,6.9115217,0.61118961
864691135214265984,6,5.83059683,0.52257268
864691135214265984,7,8.93875055,0.8348124
864691135954902024,0,4.69463067,0.62327622
864691135954902024,1,8.77808728,0.82810671
864691135954902024,2,11.50539785,0.8489926
864691135954902024,3,28.57758131,2.2312797
864691135954902024,4,28.88544314,2.17201046
864691135954902024,5,15.48183855,1.06999984
864691135954902024,6,13.90248062,1.33510617
864691135954902024,7,7.08405192,0.65257509
864691136228491601,0,7.72551395,0.54171195
864691136228491601,1,8.07690324,0.57924297
864691136228491601,2,2.81806661,0.17603085
864691136228491601,3,3.02382114,0.21179065
864691136228491601,4,1.72587373,0.157924
864691136228491601,5,2.09249908,0.16354503
864691136228491601,6,2.76963422,0.39548334
864691136228491601,7,3.18865637,0.31166148
864691135393973749,0,2.86987717,0.20735692
864691135393973749,1,1.68105698,0.13754797
864691135393973749,2,1.17507469,0.10295543
864691135393973749,3,0.78497278,0.08443973
864691135393973749,4,1.10588971,0.09958908
864691135393973749,5,1.24051841,0.10588114
864691135393973749,6,1.48420849,0.11805326
864691135393973749,7,2.07406335,0.16398454
864691135454827370,0,11.07327569,1.09365719
864691135454827370,1,13.45274102,1.21948798
864691135454827370,2,10.92755594,0.94770141
864691135454827370,3,18.42448279,1.3979928
864691135454827370,4,17.51140044,1.37359579
864691135454827370,5,11.70034367,1.16828795
864691135454827370,6,7.08987705,1.06516564
864691135454827370,7,7.16169618,0.75507232
864691136124482854,0,24.19027972,1.08320199
864691136124482854,1,20.66407378,0.91672578
864691136124482854,2,11.57511117,0.67863226
864691136124482854,3,7.35793371,0.50205556
864691136124482854,4,5.19000462,0.37347968
864691136124482854,5,3.82166192,0.27560416
864691136124482854,6,7.23590999,0.43368138
864691136124482854,7,17.36506151,0.95435792
864691135856704302,0,3.19014265,0.28266434
864691135856704302,1,2.21166818,0.19849314
864691135856704302,2,2.68489369,0.21800498
864691135856704302,3,1.21145481,0.13407327
864691135856704302,4,0.84900812,0.07826058
864691135856704302,5,2.6288409,0.23155316
864691135856704302,6,5.03526189,0.52232032
864691135856704302,7,6.57835763,0.53940634
864691136487532050,0,3.98606342,0.32828111
864691136487532050,1,2.00265507,0.17801638
864691136487532050,2,3.07415513,0.27716207
864691136487532050,3,6.81073616,1.01193769
864691136487532050,4,2.0414155,0.21000893
864691136487532050,5,5.20714566,0.58431158
864691136487532050,6,3.81019677,0.38019401
864691136487532050,7,8.50557816,1.39859055
864691135841697251,0,1.56707463,0.15886762
864691135841697251,1,1.91869239,0.32372184
864691135841697251,2,3.42513117,0.35126133
864691135841697251,3,7.66205566,0.78096355
864691135841697251,4,11.06274863,0.9332203
864691135841697251,5,8.73937472,0.66119864
864691135841697251,6,3.38848896,0.37051617
864691135841697251,7,0.74563602,0.08342199
864691135609624583,0,9.33802573,0.88493384
864691135609624583,1,5.81706474,0.6062602
864691135609624583,2,8.71253879,0.78694227
864691135609624583,3,9.9529936,0.83593438
864691135609624583,4,9.52959958,0.75245571
864691135609624583,5,10.1364621,0.77148161
864691135609624583,6,12.14717801,1.18453234
864691135609624583,7,12.23047657,1.07722524
864691135374721097,0,6.69751221,0.67630409
864691135374721097,1,7.61916303,0.68571033
864691135374721097,2,15.34460174,1.38439429
864691135374721097,3,6.69781886,0.64755622
864691135374721097,4,3.78095501,0.52384867
864691135374721097,5,4.45750541,0.572863
864691135374721097,6,3.94772001,0.41057035
864691135374721097,7,4.73316884,0.44245924
864691135776733357,0,0.7139797,0.15881648
864691135776733357,1,1.10446866,0.16428586
864691135776733357,2,2.71841663,0.26495976
864691135776733357,3,3.7162053,0.39024943
864691135776733357,4,7.7314787,0.65179511
864691135776733357,5,4.51291984,0.35078666
864691135776733357,6,2.05928206,0.26278227
864691135776733357,7,0.30863041,0.04793346
864691135564966679,0,1.34856737,0.12056324
864691135564966679,1,0.97872859,0.09361221
864691135564966679,2,0.82011967,0.07605141
864691135564966679,3,0.92562356,0.10642179
864691135564966679,4,1.26365809,0.15202856
864691135564966679,5,1.69413336,0.18812104
864691135564966679,6,1.24813647,0.12282662
864691135564966679,7,2.02903916,0.16611926
864691136329593322,0,2.35968172,0.21662299
864691136329593322,1,5.31194124,0.8098218
864691136329593322,2,0.91204878,0.10156079
864691136329593322,3,1.69922501,0.18574622
864691136329593322,4,2.93838278,0.27411741
864691136329593322,5,2.42962245,0.21975712
864691136329593322,6,1.94160462,0.31406073
864691136329593322,7,1.78682419,0.18880015
864691135495651472,0,7.57634991,0.58852332
864691135495651472,1,5.91803311,0.38769296
864691135495651472,2,3.74821351,0.27260428
864691135495651472,3,4.15637723,0.30387274
864691135495651472,4,3.55018892,0.20026259
864691135495651472,5,3.14188687,0.20895538
864691135495651472,6,3.00085946,0.1972465
864691135495651472,7,3.73771925,0.27905922
864691135066010948,0,1.17009019,0.09773669
864691135066010948,1,0.9912969,0.09674699
864691135066010948,2,1.27517885,0.15098623
864691135066010948,3,1.39639757,0.14825663
864691135066010948,4,1.10285497,0.1033998
864691135066010948,5,1.66458523,0.17418273
864691135066010948,6,1.34731975,0.09117729
864691135066010948,7,2.28993959,0.2033309
864691136085182060,0,0.55088963,0.07492576
864691136085182060,1,0.47693249,0.05965679
864691136085182060,2,0.41603707,0.06530553
864691136085182060,3,0.19684119,0.0274954
864691136085182060,4,0.94647414,0.10949051
864691136085182060,5,0.57305158,0.08119987
864691136085182060,6,0.23604019,0.03702913
864691136085182060,7,1.0257062,0.11023955
864691135502161986,0,32.10050124,2.05848657
864691135502161986,1,19.45646508,2.1221053
864691135502161986,2,5.10592968,0.47065695
864691135502161986,3,6.54494215,0.63008038
864691135502161986,4,6.6307224,0.61987108
864691135502161986,5,24.02032984,2.40025446
864691135502161986,6,44.86100667,3.06350305
864691135502161986,7,38.62266899,2.82406767
864691135772582219,0,8.88868415,0.66468847
864691135772582219,1,8.05179071,0.66472986
864691135772582219,2,6.59209897,0.5705159
864691135772582219,3,2.01141593,0.16822928
864691135772582219,4,2.45097798,0.36724686
864691135772582219,5,4.60652018,0.60480634
864691135772582219,6,5.63076584,0.53909108
864691135772582219,7,5.23499217,0.44348832
864691136923485668,0,3.16279504,0.28875638
864691136923485668,1,3.24509571,0.31328889
864691136923485668,2,2.52782197,0.23535029
864691136923485668,3,1.16630337,0.11664689
864691136923485668,4,1.09540877,0.12583602
864691136923485668,5,2.13975496,0.1579437
864691136923485668,6,1.61464724,0.17272256
864691136923485668,7,1.9341077,0.15588191
864691135755765714,0,2.78347761,0.30414388
864691135755765714,1,5.78666786,0.72600131
864691135755765714,2,9.5376213,1.11495068
864691135755765714,3,4.54785765,0.6192967
864691135755765714,4,14.20902907,1.12224613
864691135755765714,5,12.30839594,0.98700227
864691135755765714,6,9.77978818,0.79083702
864691135755765714,7,5.70660581,0.54422804
864691135395912181,0,4.87402983,0.69740126
864691135395912181,1,7.03079807,0.87850568
864691135395912181,2,10.89041678,0.96896119
864691135395912181,3,15.35089801,1.51484807
864691135395912181,4,25.3280862,1.91375101
864691135395912181,5,23.3564613,1.88776356
864691135395912181,6,13.7570384,1.47523679
864691135395912181,7,8.5017413,0.84192331
864691135772610043,0,7.41356669,0.55260595
864691135772610043,1,6.45965916,0.469813
864691135772610043,2,7.96745372,1.21778272
864691135772610043,3,8.04602773,0.76940294
864691135772610043,4,8.33720777,0.7432833
864691135772610043,5,10.94846119,1.13272182
864691135772610043,6,14.53578696,1.33250356
864691135772610043,7,10.84597082,0.79829545
864691135759369038,0,3.19923134,0.26830742
864691135759369038,1,3.47149115,0.25332113
864691135759369038,2,3.31027137,0.29245279
864691135759369038,3,2.68946351,0.26248265
864691135759369038,4,4.29919874,0.34190655
864691135759369038,5,4.43308302,0.35158429
864691135759369038,6,3.62630798,0.31451153
864691135759369038,7,3.36768385,0.26138975
864691135731236025,0,12.60642496,1.0041403
864691135731236025,1,11.19448058,0.97502094
864691135731236025,2,9.814087,0.90028852
864691135731236025,3,6.59390068,0.55066087
864691135731236025,4,5.92310429,0.42271098
864691135731236025,5,4.70068886,0.40973726
864691135731236025,6,6.5250318,0.54000247
864691135731236025,7,13.25341694,0.91397414
864691135273172753,0,13.78515771,0.68512991
864691135273172753,1,8.00135081,0.47489007
864691135273172753,2,4.36137231,0.37736923
864691135273172753,3,4.20796596,0.56325458
864691135273172753,4,5.90727868,0.51397451
864691135273172753,5,9.18688962,0.86914699
864691135273172753,6,12.31093663,0.74471745
864691135273172753,7,18.20285374,0.94840774
