pre_pt_root_id,post_pt_root_id,syn_volume
864691135067066948,864691135874573454,16180
864691135067066948,864691136088930871,7040
864691135067066948,864691136379681749,25108
864691135067197252,864691136106513625,6312
864691135067270468,864691135012862614,2704
864691135067270468,864691135014479766,14268
864691135067270468,864691135083332855,7404
864691135067270468,864691135119056861,22556
864691135067270468,864691135163754797,2252
864691135067270468,864691135273289489,23624
864691135067270468,864691135334857449,23772
864691135067270468,864691135349326551,5048
864691135067270468,864691135356428751,29324
864691135067270468,864691135386704513,25276
864691135067270468,864691135430270512,6100
864691135067270468,864691135441799752,18652
864691135067270468,864691135476788648,9588
864691135067270468,864691135585662584,6756
864691135067270468,864691135700146978,22368
864691135067270468,864691135725191083,15728
864691135067270468,864691135763300406,2836
864691135067270468,864691135782029136,8288
864691135067270468,864691135800694114,4432
864691135067270468,864691135865646812,2752
864691135067270468,864691135867499542,3256
864691135067270468,864691135890472073,4328
864691135067270468,864691135938727989,15056
864691135067270468,864691135941226150,19604
864691135067270468,864691135988557315,27280
864691135067270468,864691136011790755,6548
864691135067270468,864691136032511419,9736
864691135067270468,864691136107746009,2904
864691135067270468,864691136110700216,1528
864691135067270468,864691136124758054,1756
864691135067270468,864691136195409622,2212
864691135067270468,864691136195455190,612
864691135067270468,864691136923764708,24636
864691135067270468,864691137019776622,4088
864691135067270468,864691137020596590,9988
864691135067270468,864691137054436470,3048
864691135067270468,864691137054885238,6564
864691135067270468,864691137055089014,43820
864691135082840567,864691135012862614,1776
864691135082840567,864691135014479766,22100
864691135082840567,864691135119056861,6252
864691135082840567,864691135273289489,4012
864691135082840567,864691135334857449,2140
864691135082840567,864691135356428751,3316
864691135082840567,864691135476788648,3660
864691135082840567,864691135585662584,5444
864691135082840567,864691135594774315,1048
864691135082840567,864691135725191083,2804
864691135082840567,864691135867411478,1028
864691135082840567,864691135867499542,8040
864691135082840567,864691135910575529,1668
864691135082840567,864691135919801008,22540
864691135082840567,864691135938727989,548
864691135082840567,864691135941226150,2200
864691135082840567,864691135942611316,17032
864691135082840567,864691135988557315,6704
864691135082840567,864691136011790755,22476
864691135082840567,864691136110700216,2004
864691135082840567,864691136110743992,5112
864691135082840567,864691136124758054,2800
864691135082840567,864691136195409622,13160
864691135082840567,864691136195455190,4076
864691135082840567,864691136195824204,3144
864691135082840567,864691136228080209,12596
864691135082840567,864691136228870481,6396
864691135082840567,864691136275291405,27212
864691135083449079,864691134941669475,10740
864691135083449079,864691135014479766,7064
864691135083449079,864691135119056861,5284
864691135083449079,864691135257086127,996
864691135083449079,864691135273289489,2664
864691135083449079,864691135334857449,8436
864691135083449079,864691135356428751,9452
864691135083449079,864691135441386568,23252
864691135083449079,864691135441799752,4232
864691135083449079,864691135469684306,3308
864691135083449079,864691135476788648,5516
864691135083449079,864691135495579280,1968
864691135083449079,864691135585662584,2320
864691135083449079,864691135594774315,7020
864691135083449079,864691135738520689,1576
864691135083449079,864691135782029136,2540
864691135083449079,864691135849033822,7876
864691135083449079,864691135865591685,1360
864691135083449079,864691135867411478,11308
864691135083449079,864691135941226150,32356
864691135083449079,864691135942611316,2768
864691135083449079,864691135947457121,2560
864691135083449079,864691135988557315,1784
864691135083449079,864691136032511419,7256
864691135083449079,864691136106318041,3024
864691135083449079,864691136106513625,9868
864691135083449079,864691136107746009,4740
864691135083449079,864691136195409622,14080
864691135083449079,864691136195824204,24840
864691135083449079,864691136228870481,5272
864691135083449079,864691136275291405,1156
864691135083449079,864691137019776622,10392
864691135101289504,864691134941669475,3836
864691135101289504,864691135014479766,20664
864691135101289504,864691135083332855,11532
864691135101289504,864691135133061536,1332
864691135101289504,864691135163754797,988
864691135101289504,864691135234402137,11028
864691135101289504,864691135270504101,8840
864691135101289504,864691135274380517,4084
864691135101289504,864691135335321833,11716
864691135101289504,864691135349326551,10160
864691135101289504,864691135356428751,17944
864691135101289504,864691135375528009,20728
864691135101289504,864691135407923401,7492
864691135101289504,864691135430270512,1016
864691135101289504,864691135441799752,5376
864691135101289504,864691135464019269,36372
864691135101289504,864691135464975685,1616
864691135101289504,864691135468538962,6452
864691135101289504,864691135468706700,6684
864691135101289504,864691135472814130,3020
864691135101289504,864691135498395667,4096
864691135101289504,864691135498488851,5036
864691135101289504,864691135509619721,5184
864691135101289504,864691135572302629,6640
864691135101289504,864691135590799371,500
864691135101289504,864691135697605530,4216
864691135101289504,864691135725191083,8008
864691135101289504,864691135741524587,1632
864691135101289504,864691135749449513,4180
864691135101289504,864691135763300406,340
864691135101289504,864691135777228973,12632
864691135101289504,864691135782029136,10880
864691135101289504,864691135783449907,28508
864691135101289504,864691135783823667,908
864691135101289504,864691135800694114,11188
864691135101289504,864691135864920702,5124
864691135101289504,864691135865700572,21252
864691135101289504,864691135867399045,8788
864691135101289504,864691135926596110,3068
864691135101289504,864691135927277582,5908
864691135101289504,864691135938727989,25004
864691135101289504,864691135941226150,42776
864691135101289504,864691135945389604,3504
864691135101289504,864691135988557315,3260
864691135101289504,864691136009397422,15404
864691135101289504,864691136011790755,6972
864691135101289504,864691136032511419,44732
864691135101289504,864691136106513625,4056
864691135101289504,864691136106775001,2132
864691135101289504,864691136107746009,23720
864691135101289504,864691136109767096,4864
864691135101289504,864691136124758054,3868
864691135101289504,864691136195409622,4952
864691135101289504,864691136195455190,68776
864691135101289504,864691136209119932,5660
864691135101289504,864691136228080209,39040
864691135101289504,864691136275291405,12680
864691135101289504,864691136310774362,22028
864691135101289504,864691136389080183,3708
864691135101289504,864691136391392127,26324
864691135101289504,864691136522721169,3768
864691135101289504,864691136578410004,3048
864691135101289504,864691136617591259,3464
864691135101289504,864691136673469831,24012
864691135101289504,864691136725041917,3508
864691135101289504,864691136911633137,8380
864691135101289504,864691136923764708,22172
864691135101289504,864691137196894017,9668
864691135101307680,864691135938727989,8348
864691135101307680,864691135941226150,4936
864691135101307680,864691136110743992,17472
864691135101307680,864691136196160844,3592
864691135101431072,864691135954210312,21004
864691135101431072,864691136196160844,1092
864691135101521952,864691135441799752,6868
864691135101595680,864691135585662584,9184
864691135101595680,864691135759350862,18440
864691135101595680,864691135859698280,13196
864691135101595680,864691135988557315,5160
864691135101595680,864691136391392127,16352
864691135101595680,864691137021365614,3404
864691135105563469,864691135014479766,28428
864691135105563469,864691135510610384,3748
864691135105563469,864691135561071585,3276
864691135105563469,864691136107746009,4036
864691135105563469,864691137019776622,2352
864691135105720653,864691135270504101,1904
864691135105720653,864691135510719440,4956
864691135105720653,864691137020596590,18104
864691135119056861,864691135119056861,18168
864691135119056861,864691135356428751,14436
864691135119056861,864691135441799752,22516
864691135119056861,864691135941226150,6512
864691135119056861,864691136110743992,7548
864691135119068125,864691135561071585,7120
864691135119068125,864691135725191083,4844
864691135119082461,864691135585662584,2956
864691135119082461,864691135777878205,25528
864691135119082461,864691135941226150,3140
864691135119082461,864691136106775001,872
864691135119082461,864691136923764708,4840
864691135123815975,864691135279030689,3456
864691135123815975,864691135386704513,3196
864691135123815975,864691135441799752,9588
864691135123815975,864691136196160844,2524
864691135123815975,864691136228870481,3144
864691135134016928,864691135349326551,688
864691135134016928,864691136228080209,22100
864691135134052512,864691135476788648,1172
864691135134052512,864691135569673452,6040
864691135134052512,864691135725191083,6112
864691135134052512,864691136144739636,4972
864691135134052512,864691136228870481,16992
864691135134114976,864691135730135993,2132
864691135134114976,864691135940073217,212
864691135134114976,864691136577696532,312
864691135136166681,864691135577358085,22420
864691135136166681,864691136110743992,7252
864691135136166681,864691136274974477,4860
864691135136188185,864691135498395667,12524
864691135136188185,864691135511496656,340
864691135136188185,864691136196160844,5024
864691135136325657,864691135867411478,3880
864691135136325657,864691136106513625,2828
864691135136360217,864691135119056861,10060
864691135136360217,864691135349326551,5824
864691135136360217,864691135619377039,7920
864691135155894884,864691135772466939,40792
864691135155894884,864691135867411478,13024
864691135155894884,864691136090834999,2640
