pt_root_id,cell_type,tuning_type,layer,position_original,axon_proof,dendr_proof,pref_ori,osi
864691136135536011,exc,direction,L4,[180832 157632  16640],non,non,8.0,0.7026576
864691135786334148,exc,direction,L4,[230352 160944  18204],non,non,15.0,0.2995074
864691136311737661,exc,direction,L4,[200272 154784  17435],non,non,12.0,0.2675704
864691136135524491,exc,direction,L4,[245904 158816  26406],non,non,8.0,0.5705062
864691135800259426,exc,direction,L4,[254256 151808  23335],non,non,9.0,0.32961383
864691135383015898,exc,direction,L4,[232048 171680  21343],non,non,8.0,0.11842487
864691136663146462,exc,direction,L4,[170624 165152  16725],non,non,11.0,0.45526236
864691136135344267,exc,direction,L4,[251616 159440  20038],non,non,8.0,0.58178335
864691135374386888,exc,direction,L4,[119072 160704  15664],non,non,15.0,0.350722
864691135374300104,exc,direction,L4,[176912 158528  15258],non,non,14.0,0.5083408
864691135373408456,exc,direction,L4,[222736 165248  27286],non,non,2.0,0.22515847
864691136119482904,exc,direction,L4,[252448 152112  22638],non,non,9.0,0.39698067
864691135808299037,exc,direction,L4,[192416 159376  25566],non,non,5.0,0.54451114
864691135816017743,exc,direction,L4,[199424 162736  20068],non,non,8.0,0.32890913
864691135361024071,exc,direction,L4,[236992 165232  25811],non,non,11.0,0.29988265
864691135816613455,exc,direction,L4,[144432 161856  18908],non,non,14.0,0.30114236
864691135360113223,exc,direction,L4,[232272 167920  16599],non,non,3.0,0.5043831
864691135838393491,exc,direction,L4,[164016 157488  19088],non,non,6.0,0.59500146
864691135359756376,exc,direction,L4,[143344 169712  16455],non,non,0.0,0.49120125
864691135359558744,exc,direction,L4,[197248 169056  17265],non,non,0.0,0.5407315
864691135359434328,exc,direction,L4,[208240 159040  21627],non,non,10.0,0.30971193
864691135847943262,exc,direction,L4,[258832 149632  18580],non,non,7.0,0.2946822
864691136673307527,exc,direction,L4,[258096 165216  21291],non,non,4.0,0.21130401
864691135355993295,exc,direction,L4,[185168 174208  22967],non,non,8.0,0.5213461
864691135355263183,exc,direction,L4,[223136 171968  20560],non,non,8.0,0.19323005
864691135810510540,exc,direction,L4,[209744 154496  16601],non,non,11.0,0.32303524
864691135469497170,exc,direction,L4,[148352 169872  19472],non,non,13.0,0.5936118
864691135737636740,exc,direction,L4,[178288 159872  26551],non,non,6.0,0.19163693
864691135737477764,exc,direction,L4,[136896 160432  18957],non,non,14.0,0.57060546
864691135565709655,exc,direction,L4,[192880 156384  21831],clean,clean,9.0,0.3350568
864691135618898831,exc,direction,L4,[200256 153552  16612],non,non,14.0,0.45508438
864691135565615959,exc,direction,L4,[168992 156528  26348],non,non,5.0,0.4778645
864691135565571159,exc,direction,L4,[268800 163200  19003],non,non,8.0,0.3671877
864691135565521495,exc,direction,L4,[174784 163472  18170],non,non,11.0,0.42650467
864691135565169751,exc,direction,L4,[157552 167136  19888],non,non,4.0,0.47493693
864691135561635553,exc,direction,L4,[166480 166144  18461],non,non,8.0,0.43906233
864691135645478127,exc,direction,L4,[261168 161552  17013],non,non,8.0,0.3516278
864691135645549807,exc,direction,L4,[277360 154272  19808],non,non,2.0,0.36286145
864691135654574018,exc,direction,L4,[215392 161024  16992],non,non,0.0,0.20324294
864691135545309992,exc,direction,L4,[136960 161904  23708],non,non,5.0,0.42131433
864691135545228840,exc,direction,L4,[117760 161872  21073],non,non,8.0,0.44399768
864691135618635151,exc,direction,L4,[201968 168912  19569],non,non,9.0,0.46273136
864691136274680845,exc,direction,L4,[197376 159168  17749],non,non,8.0,0.47438577
864691135538572914,exc,direction,L4,[202944 162048  25243],non,non,4.0,0.27405325
864691136274451213,exc,direction,L4,[183680 154720  26421],non,non,5.0,0.3179821
864691136273771198,exc,direction,L4,[146752 168496  21801],non,non,13.0,0.30425346
864691135518293898,exc,direction,L4,[178592 157184  15335],non,non,0.0,0.5955104
864691135517829258,exc,direction,L4,[201360 160304  25656],non,non,10.0,0.4714912
864691135661612784,exc,direction,L4,[180480 163216  16978],non,non,8.0,0.38467938
864691136267573236,exc,direction,L4,[190304 175920  18297],non,non,8.0,0.32805723
864691135684261618,exc,direction,L4,[160704 157920  26503],non,non,0.0,0.7494869
864691135684301810,exc,direction,L4,[215680 159392  16136],non,non,8.0,0.21200162
864691136380045269,exc,direction,L4,[150768 167344  19545],non,non,4.0,0.6219628
864691135510734544,exc,direction,L4,[172656 156448  25787],non,non,3.0,0.46588752
864691136389008656,exc,direction,L4,[176384 156576  23561],non,non,7.0,0.4185603
864691135538926450,exc,direction,L4,[159744 174752  16020],non,non,13.0,0.41178688
864691135685084343,exc,direction,L4,[152176 169360  16885],non,non,13.0,0.48972446
864691135565773591,exc,direction,L4,[184176 165760  22284],clean,clean,7.0,0.39563918
864691135569234822,exc,direction,L4,[153296 165424  23882],non,non,3.0,0.4506595
864691135590821643,exc,direction,L4,[235120 150720  23617],non,non,9.0,0.3061275
864691136311742013,exc,direction,L4,[248320 158304  16377],non,non,9.0,0.5489987
864691135586228092,exc,direction,L4,[202400 160400  19058],non,non,8.0,0.20368905
864691136310633306,exc,direction,L4,[140912 161936  21757],non,non,12.0,0.79119664
864691135586081148,exc,direction,L4,[236944 152896  25546],non,non,9.0,0.53542364
864691136310617178,exc,direction,L4,[243648 169600  24215],non,non,14.0,0.35974163
864691135585906300,exc,direction,L4,[190320 160272  24039],non,non,7.0,0.29303586
864691135594639403,exc,direction,L4,[160448 159456  18288],non,non,11.0,0.59037936
864691135584768888,exc,direction,L4,[128368 171168  19402],non,non,6.0,0.21922469
864691135582645613,exc,direction,L4,[185488 171840  16561],non,non,14.0,0.4949209
864691135582640493,exc,direction,L4,[219824 171296  23608],non,non,10.0,0.27096385
864691135582613869,exc,direction,L4,[164304 168064  21680],non,non,0.0,0.24261598
864691135618531983,exc,direction,L4,[275360 165888  16426],non,non,6.0,0.5659191
864691135610394887,exc,direction,L4,[118592 162096  19153],non,non,12.0,0.4863098
864691135610509575,exc,direction,L4,[177120 174080  15702],non,non,13.0,0.22055852
864691135610661895,exc,direction,L4,[176256 173872  21655],clean,clean,6.0,0.40578339
864691136312901181,exc,direction,L4,[180144 171216  23395],non,non,2.0,0.31643745
864691135572130085,exc,direction,L4,[182864 158928  24462],non,non,7.0,0.37639126
864691135614885323,exc,direction,L4,[165040 160896  24558],non,non,7.0,0.68656325
864691135571541285,exc,direction,L4,[254320 153168  21026],non,non,1.0,0.42046702
864691135570723309,exc,direction,L4,[136384 173920  20612],non,non,2.0,0.34317696
864691136329905130,exc,direction,L4,[247728 170816  20478],non,non,3.0,0.29916844
864691136330031850,exc,direction,L4,[135728 174080  20230],non,non,15.0,0.26740253
864691135569879942,exc,direction,L4,[203472 169840  16740],non,non,13.0,0.5152683
864691135616742249,exc,direction,L4,[221600 156816  18457],non,non,9.0,0.24638937
864691136333739187,exc,direction,L4,[193872 160768  25776],non,non,8.0,0.34124413
864691135577657093,exc,direction,L4,[234384 156544  18319],non,non,7.0,0.5242997
864691135685122231,exc,direction,L4,[161552 177824  17466],non,non,3.0,0.64947647
864691135502991797,exc,direction,L4,[260752 151776  20572],non,non,8.0,0.43638158
864691136389175056,exc,direction,L4,[267280 159520  19669],non,non,8.0,0.42089856
864691135491338599,exc,direction,L4,[245840 152368  26311],non,non,2.0,0.32800213
864691135491230567,exc,direction,L4,[195776 171984  24088],non,non,8.0,0.45136446
864691136437200030,exc,direction,L4,[216992 172896  26574],non,non,10.0,0.3231858
864691135715697434,exc,direction,L4,[275648 151120  16714],non,non,7.0,0.68884575
864691135491110247,exc,direction,L4,[186608 158016  25543],non,non,8.0,0.54972434
864691135716088858,exc,direction,L4,[115632 161136  16453],non,non,2.0,0.6353348
864691135716106266,exc,direction,L4,[171856 175760  22771],non,non,9.0,0.4602496
864691135719020081,exc,direction,L4,[143920 168256  21303],non,non,0.0,0.69522125
864691135489390906,exc,direction,L4,[189312 170352  20454],clean,clean,12.0,0.3065339
864691135489191994,exc,direction,L4,[213984 153696  23275],non,non,11.0,0.43389666
864691135719651633,exc,direction,L4,[185024 176368  22629],clean,clean,8.0,0.19047298
864691136437455262,exc,direction,L4,[237888 152640  25837],non,non,14.0,0.6682044
864691136423707951,exc,direction,L4,[230448 164880  15063],non,non,12.0,0.4896947
864691135488734010,exc,direction,L4,[209168 166720  21758],non,non,7.0,0.59394246
864691135479337158,exc,direction,L4,[181920 154880  22579],clean,clean,8.0,0.47872034
864691136210037948,exc,direction,L4,[250256 164832  25634],non,non,11.0,0.35820028
864691135479147206,exc,direction,L4,[247328 150128  19661],non,non,13.0,0.45042735
864691136209915324,exc,direction,L4,[152640 160192  19238],non,non,14.0,0.35232082
864691135726445119,exc,direction,L4,[182624 163232  19382],non,non,7.0,0.41940284
864691136452016127,exc,direction,L4,[118416 163280  17916],non,non,7.0,0.40272614
864691135726473279,exc,direction,L4,[274896 152384  17150],non,non,12.0,0.37426233
864691136452200703,exc,direction,L4,[162992 173488  22116],non,non,8.0,0.09126585
864691135726653759,exc,direction,L4,[127504 161264  22155],non,non,12.0,0.5196761
864691137196919105,exc,direction,L4,[138384 162272  16974],non,non,0.0,0.35714868
864691136483448364,exc,direction,L4,[157824 161552  24431],non,non,11.0,0.56913507
864691136483625004,exc,direction,L4,[181424 157152  23281],non,non,5.0,0.28833124
864691135479370694,exc,direction,L4,[200400 157136  17329],non,non,12.0,0.25859937
864691135491460327,exc,direction,L4,[165232 162048  24202],non,non,5.0,0.24193524
