pt_root_id,cell_type,tuning_type,layer,position_original,axon_proof,dendr_proof,pref_ori,osi
864691135866794117,exc,direction,L4,[249264 153072  15422],non,non,8.0,0.40436247
864691136106445529,exc,direction,L4,[190336 164656  23415],non,non,8.0,0.34159458
864691136724831997,exc,direction,L4,[186704 157648  23486],non,non,9.0,0.72715884
864691135889255305,exc,direction,L4,[137456 172896  20874],non,non,13.0,0.66892797
864691135303928743,exc,direction,L4,[191376 170448  19712],non,non,8.0,0.42500788
864691136105844185,exc,direction,L4,[202512 155120  22555],non,non,5.0,0.31033945
864691135303189927,exc,direction,L4,[237856 154912  17379],non,non,8.0,0.3846944
864691135867555862,exc,direction,L4,[186800 154560  16187],non,non,13.0,0.14481868
864691135867584022,exc,direction,L4,[214784 166720  23051],non,non,2.0,0.6185746
864691136903811762,exc,direction,L4,[174560 162080  15167],non,non,1.0,0.50842446
864691136812660334,exc,direction,L4,[205488 170112  21044],non,non,9.0,0.41085774
864691135307514182,exc,direction,L4,[229760 155088  21659],non,non,14.0,0.3925713
864691135866400901,exc,direction,L4,[143184 170304  18294],non,non,12.0,0.69479394
864691135278716321,exc,direction,L4,[119072 168560  16730],non,non,13.0,0.6435455
864691135275298789,exc,direction,L4,[162656 162800  23772],non,non,12.0,0.6781767
864691135279073441,exc,direction,L4,[177184 162640  17722],non,non,15.0,0.32374975
864691135307832390,exc,direction,L4,[276352 159008  18619],non,non,10.0,0.44764662
864691136812856691,exc,direction,L4,[223328 172768  24702],non,non,8.0,0.30721518
864691135910487209,exc,direction,L4,[137168 174336  18575],non,non,14.0,0.65141004
864691135307551046,exc,direction,L4,[216752 165728  21826],non,non,11.0,0.34386796
864691135684207090,exc,not_selective,L4,[188752 155456  22901],non,non,8.0,0.21902545
864691135992431809,exc,not_selective,L4,[175904 156784  16862],non,non,7.0,0.49603292
864691135976638275,exc,not_selective,L4,[242272 157168  18547],non,non,14.0,0.28479162
864691135700500258,exc,not_selective,L4,[227888 158384  25567],non,non,10.0,0.17844786
864691135683891186,exc,not_selective,L4,[168720 167472  19578],non,non,8.0,0.33328104
864691135684335346,exc,not_selective,L4,[232000 152352  19953],non,non,3.0,0.5693437
864691135684367858,exc,not_selective,L4,[178096 158944  22197],clean,clean,13.0,0.31695086
864691136267379188,exc,not_selective,L4,[250384 155360  24218],non,non,13.0,0.26597345
864691135992269249,exc,not_selective,L4,[264672 149808  16212],non,non,14.0,0.64070636
864691135992259777,exc,not_selective,L4,[158800 159008  23279],non,non,14.0,0.61923057
864691135992572609,exc,not_selective,L4,[202832 170064  18355],non,non,9.0,0.4086382
864691136051751923,exc,not_selective,L4,[231280 154384  16411],non,non,2.0,0.4914397
