neuron_id,angle_shown,rate
864691135349422551,0,2.5091548
864691135349422551,1,0.49741998
864691135349422551,2,2.0155084
864691135349422551,3,2.0706296
864691135349422551,4,1.8939247
864691135349422551,5,2.1586149
864691135349422551,6,5.482536
864691135349422551,7,2.7598581
864691135349422551,8,1.6907167
864691135349422551,9,1.6023979
864691135349422551,10,0.44083077
864691135349422551,11,0.72004473
864691135349422551,12,0.9154647
864691135349422551,13,1.1976901
864691135349422551,14,3.337851
864691135349422551,15,1.8781618
864691135307095110,0,4.207612
864691135307095110,1,3.6813679
864691135307095110,2,4.213435
864691135307095110,3,4.692338
864691135307095110,4,4.1275897
864691135307095110,5,5.9483805
864691135307095110,6,5.146828
864691135307095110,7,5.709491
864691135307095110,8,3.3586
864691135307095110,9,4.8898225
864691135307095110,10,4.206071
864691135307095110,11,5.1062813
864691135307095110,12,3.5319035
864691135307095110,13,4.548335
864691135307095110,14,5.644985
864691135307095110,15,4.0063977
864691135307514182,0,2.7487264
864691135307514182,1,0.97559583
864691135307514182,2,0.95697844
864691135307514182,3,2.1935165
864691135307514182,4,2.819731
864691135307514182,5,1.9117587
864691135307514182,6,3.2799466
864691135307514182,7,6.514258
864691135307514182,8,5.2218823
864691135307514182,9,2.2403517
864691135307514182,10,1.80701
864691135307514182,11,2.3985152
864691135307514182,12,3.4699569
864691135307514182,13,1.4869864
864691135307514182,14,2.8379455
864691135307514182,15,1.7272823
864691135307518022,0,0.2419974
864691135307518022,1,0.32111067
864691135307518022,2,0.46053165
864691135307518022,3,0.41665262
864691135307518022,4,0.33786678
864691135307518022,5,0.39940864
864691135307518022,6,0.3430374
864691135307518022,7,0.51812553
864691135307518022,8,0.57074386
864691135307518022,9,0.4518425
864691135307518022,10,0.22989409
864691135307518022,11,0.12969075
864691135307518022,12,0.3973134
864691135307518022,13,0.50994694
864691135307518022,14,0.8524149
864691135307518022,15,0.3148232
864691135307551046,0,0.20637886
864691135307551046,1,0.28969634
864691135307551046,2,0.14325717
864691135307551046,3,0.59716153
864691135307551046,4,0.26731467
864691135307551046,5,0.64300406
864691135307551046,6,0.045878217
864691135307551046,7,0.18239117
864691135307551046,8,0.22010306
864691135307551046,9,0.03860975
864691135307551046,10,0.124006435
864691135307551046,11,0.49656105
864691135307551046,12,0.4277913
864691135307551046,13,0.33507878
864691135307551046,14,0.2873351
864691135307551046,15,0.29191968
864691135307832390,0,0.5463829
864691135307832390,1,1.3889453
864691135307832390,2,0.88190067
864691135307832390,3,1.0634168
864691135307832390,4,1.6944664
864691135307832390,5,0.8568643
864691135307832390,6,0.64609826
864691135307832390,7,0.54545677
864691135307832390,8,1.2287759
864691135307832390,9,1.1369897
864691135307832390,10,0.5315871
864691135307832390,11,0.53562677
864691135307832390,12,2.2565513
864691135307832390,13,1.3068764
864691135307832390,14,1.042539
864691135307832390,15,0.13540749
864691135987910147,0,0.37661952
864691135987910147,1,0.4027195
864691135987910147,2,0.49727923
864691135987910147,3,0.21721204
864691135987910147,4,0.45228368
864691135987910147,5,0.3351163
864691135987910147,6,0.765833
864691135987910147,7,0.5024431
864691135987910147,8,0.8616375
864691135987910147,9,0.2333239
864691135987910147,10,0.49280986
864691135987910147,11,0.15418199
864691135987910147,12,0.26065066
864691135987910147,13,0.312053
864691135987910147,14,0.48012513
864691135987910147,15,0.44765082
864691135323817628,0,1.4176974
864691135323817628,1,1.2574375
864691135323817628,2,1.5077436
864691135323817628,3,0.49173012
864691135323817628,4,0.46092376
864691135323817628,5,0.8623854
864691135323817628,6,2.1379328
864691135323817628,7,1.5726163
864691135323817628,8,1.1165088
864691135323817628,9,0.34829187
864691135323817628,10,0.8027112
864691135323817628,11,0.7923951
864691135323817628,12,0.71139634
864691135323817628,13,1.1744382
864691135323817628,14,1.3046128
864691135323817628,15,2.289283
864691135987888643,0,0.8179129
864691135987888643,1,0.6434871
864691135987888643,2,0.11611687
864691135987888643,3,0.22067957
864691135987888643,4,0.19997893
864691135987888643,5,0.09754412
864691135987888643,6,0.3913472
864691135987888643,7,0.5743564
864691135987888643,8,1.143966
864691135987888643,9,1.1026422
864691135987888643,10,0.47341403
864691135987888643,11,0.12414296
864691135987888643,12,0.5000719
864691135987888643,13,0.2663465
864691135987888643,14,0.41840568
864691135987888643,15,0.49872026
864691135987849731,0,0.62134045
864691135987849731,1,0.41553974
864691135987849731,2,0.51882464
864691135987849731,3,0.33162165
864691135987849731,4,0.26398116
864691135987849731,5,0.321372
864691135987849731,6,0.69680303
864691135987849731,7,0.24252939
864691135987849731,8,0.49809504
864691135987849731,9,0.3201803
864691135987849731,10,0.49178785
864691135987849731,11,0.91596144
864691135987849731,12,0.49205494
864691135987849731,13,0.19277896
864691135987849731,14,0.15394713
864691135987849731,15,0.3307081
864691135308224070,0,0.30507836
864691135308224070,1,0.25326902
864691135308224070,2,0.068854466
864691135308224070,3,0.25526237
864691135308224070,4,0.0793488
864691135308224070,5,0.3215769
864691135308224070,6,0.23777585
864691135308224070,7,0.18178259
864691135308224070,8,0.22397256
864691135308224070,9,0.15034279
864691135308224070,10,0.21583422
864691135308224070,11,0.11137412
864691135308224070,12,0.5225526
864691135308224070,13,0.13784997
864691135308224070,14,0.26034164
864691135308224070,15,0.2695778
864691135323642012,0,3.7097714
864691135323642012,1,0.6446972
864691135323642012,2,0.12479897
864691135323642012,3,0.104229644
864691135323642012,4,0.55522454
864691135323642012,5,0.06659014
864691135323642012,6,1.5764186
864691135323642012,7,1.7465823
864691135323642012,8,5.7280765
864691135323642012,9,3.40388
864691135323642012,10,0.41200033
864691135323642012,11,0.16884072
864691135323642012,12,0.2818841
864691135323642012,13,0.35821098
864691135323642012,14,2.0332222
864691135323642012,15,1.1076397
864691135987778952,0,1.6959225
864691135987778952,1,0.9692873
864691135987778952,2,1.4072534
864691135987778952,3,0.9915926
864691135987778952,4,2.6612058
864691135987778952,5,1.1532863
864691135987778952,6,1.0946978
864691135987778952,7,1.2302222
864691135987778952,8,0.6282198
