pt_root_id,nucleus_id,cell_type,tuning_type,layer,axon_proof,dendr_proof,pref_ori,pial_dist_x,pial_dist_y,pial_dist_z
864691135275621605,190151,exc,not_matched,L23,clean,extended,0,524.7978401568371,223.26716534711647,719.9600000000002
864691135738006641,189115,exc,not_selective,L23,non,non,2,501.23372930856175,104.1521491655694,960.0800000000003
864691135213116544,156155,inh,not_matched,L23,non,non,0,464.64437092829525,213.95701713288872,1093.0400000000002
864691135865195484,190006,exc,not_matched,L23,non,non,0,495.9663073557067,215.02697528029483,716.6400000000001
864691135754570189,190881,exc,not_matched,L23,non,non,0,534.9678048778648,225.24907795191214,904.1200000000002
864691135463256477,153275,exc,selective,L23,non,non,6,476.2320062048416,135.11492814041122,804.2400000000002
864691135748985641,153085,exc,selective,L23,non,non,0,475.4347324260442,106.77760909781937,743.6000000000001
864691136057810136,159400,exc,not_matched,L4,non,non,0,459.78521004691146,344.3978802223702,789.0800000000003
864691135274931941,192921,inh,not_matched,L4,non,non,0,524.9289948029617,263.6241668023633,898.8800000000002
864691136020298744,192566,exc,not_matched,L4,non,non,0,477.54462105395623,279.4586013175128,828.7200000000003
864691135684976823,193846,inh,not_matched,L4,non,non,0,465.5278000341015,320.6158822356781,658.0800000000002
864691136966518478,159133,exc,not_matched,L4,non,non,0,454.49325034501686,328.5162210359525,735.0000000000001
864691135387453569,227619,exc,not_selective,L4,non,non,7,568.3976931636777,297.6863303100606,748.1200000000001
864691135699950114,363874,exc,selective,L4,non,non,2,851.0722504493093,316.05694704908814,942.1600000000003
864691135591234315,362609,exc,selective,L4,non,non,2,855.2835002951218,257.6416939833335,667.0000000000001
864691135123287591,221971,exc,not_matched,L23,non,non,0,571.0906372240744,158.96114463605412,609.5200000000001
864691135429252144,223529,exc,not_matched,L23,non,non,0,558.9573435741813,189.7006314438305,628.2000000000002
864691136905347506,226258,exc,not_matched,L4,non,non,0,595.9348483871053,295.0202061192451,861.1600000000002
864691135437154546,223650,exc,not_matched,L23,non,non,0,551.8743650706955,221.46016380057605,640.6400000000001
864691135474733632,393873,exc,not_matched,L4,non,non,0,859.1437721136261,312.6514676375421,661.5600000000002
