Population,0
E,0.6104012956631276
I,0.051106712254813745
X,0.33849199208205866
ET,0.353320836366562
EU,0.25708045929656564
XT,0.20813540809330655
XU,0.1303565839887521
ET_0,0.09624037706999636
XT_0,0.03916136598271273
ET_1,0.04980476134520359
XT_1,0.022300222295711415
ET_2,0.037793024785478024
XT_2,0.021756314434840406
ET_3,0.033105517835341214
XT_3,0.021575011814550068
ET_4,0.045996161948217436
XT_4,0.034447497855163975
ET_5,0.022265658013149843
XT_5,0.019036775130485354
ET_6,0.01977541994588966
XT_6,0.02030589347251771
ET_7,0.04833991542328584
XT_7,0.029552327107324885
